安徽频道,#genre#
安徽卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/anhuistv/1.m3u8
安徽经济生活,http://120.210.193.151:8006/120000001002/XMTah_jjhd/index.m3u8
安徽影视,http://120.210.193.151:8006/120000001002/XMTah_yshd/index.m3u8
安徽农业科教,http://120.210.193.151:8006/120000001002/XMTah_kjhd/index.m3u8
安徽综艺体育,http://120.210.193.151:8006/120000001002/XMTah_zyhd/index.m3u8
安徽公共,http://120.210.193.151:8006/120000001002/XMTah_gghd/index.m3u8
安徽国际,http://120.210.193.151:8006/120000001002/XMTahgj/index.m3u8
安徽导视,http://120.210.193.151:8006/120000001002/XMTah_gddspd/index.m3u8
阜阳新闻综合,http://120.210.193.151:8006/120000001002/XMTfyxw/1.m3u8
阜阳生活频道,http://120.210.193.151:8006/120000001002/XMTfygg/1.m3u8
阜阳教育频道,http://120.210.193.151:8006/120000001002/XMTfyjy/1.m3u8
阜阳都市文艺,http://120.210.193.151:8006/120000001002/XMTfyds/1.m3u8
合肥新闻,http://120.210.193.151:8006/120000001002/XMThfxw/1.m3u8
芜湖新闻,http://120.210.193.151:8006/120000001002/XMTwhxw/1.m3u8
芜湖县新闻,http://120.210.193.151:8006/120000001002/XMTwhxxw/1.m3u8
芜湖公共,http://120.210.193.151:8006/120000001002/XMTwhgg/1.m3u8
芜湖生活,http://120.210.193.151:8006/120000001002/XMTwhsh/1.m3u8
芜湖教育,http://120.210.193.151:8006/120000001002/XMTwhjy/1.m3u8
蚌埠新闻,http://120.210.193.151:8006/120000001002/XMTbbxw/1.m3u8
淮南新闻,http://120.210.193.151:8006/120000001002/XMThnxw/1.m3u8
马鞍山新闻,http://120.210.193.151:8006/120000001002/XMTmasxw/1.m3u8
马鞍山公共,http://120.210.193.151:8006/120000001002/XMTmasgg/1.m3u8
淮北新闻,http://120.210.193.151:8006/120000001002/XMThbxw/1.m3u8
铜陵新闻,http://120.210.193.151:8006/120000001002/XMTtlxw/1.m3u8
安庆新闻,http://120.210.193.151:8006/120000001002/XMTaqxw/1.m3u8
黄山新闻,http://120.210.193.151:8006/120000001002/XMThsxw/1.m3u8
