

纪录频道,#genre#
Discovery,http://ott.watch/stream/E9LDH2ZCN7/146.m3u8
Discovery,http://ott.watch/stream/E9LDH2ZCN7/177.m3u8
探索发现,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
亚洲旅游台,https://litv.zapi.us.kg/?id=litv-longturn17
亚洲旅游,http://211.72.65.236:8513/http/61.67.128.137:8081/hls/76/818/ch61.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
民视旅游,http://litv.zapi.us.kg/?id=litv-ftv07
旅游生活,http://211.72.65.236:8511/http/61.67.128.137:8081/hls/70/812/ch38.m3u8
TCL,http://211.72.65.236:8511/.m3u8
地理野生，http://211.72.65.236:8509/.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
GLOBETROTTER,https://litv.zapi.us.kg/?id=4gtv-4gtv016
視納華仁紀實頻道,https://litv.zapi.us.kg/?id=4gtv-4gtv013
时尚运动X,https://litv.zapi.us.kg/?id=4gtv-4gtv014
国家地理,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
国冡地理,http://211.72.65.236:8510/.m3u8
国家地理,p3p://108.181.32.169:18118/642523f2000e0f35ea6deeb16ff816c9
世界地理,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4087&tk=7d4ad8f156e3
世界地理,https://pi.0472.org/live/sjdl.m3u8?token=162210
动物星球,http://211.72.65.236:8512/http/61.67.128.137:8081/hls/70/812/ch37.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
动物星球,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
动物星球,https://stream1.freetv.fun/dong-wu-xing-qiu-1.m3u8
美食星球,http://ku9.fr.to/smt.php?id=foodplanet_twn
美食星球,p3p://108.181.32.169:18118/6425252400079076ea72985811e07306
CCTV9纪录,http://182.92.109.190:1668/migu720/migu720.php?id=cctv9
CCTV10科教,http://182.92.109.190:1668/migu720/migu720.php?id=cctv10
求索纪录,http://120.6.209.42:8866/udp/239.253.93.236:6414
求索纪录,http://60.10.106.114:555/udp/239.253.93.236:6414
求索科学,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5148&tk=7d4ad8f156e3
求索生活,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4713&tk=7d4ad8f156e3
求索动物,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2184&tk=7d4ad8f156e3
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
航拍中国第一季,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8edf3fb6a69148ea9a7dc0b5a9d99fdb/4000.m3u8
航拍中国第二季,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/4000.m3u8
航拍中国第三季,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/18a8a559464448dbaf60d33913e09aea/1200.m3u8
舌尖上的中国第2季,https://www.goodiptv.club/yy/1354930943
舌尖上的中国第2季,https://live.metshop.top/yy/1354930943

收藏,#genre#
美亚电影,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
Pop C 电影,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
Plus 综合台,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
博斯无限,https://litv.zapi.us.kg/?id=litv-longturn10
博斯无限2,https://litv.zapi.us.kg/?id=litv-longturn13
博斯运动1,https://litv.zapi.us.kg/?id=litv-longturn07
tvbs欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv068
tvbs,https://litv.zapi.us.kg/?id=4gtv-4gtv073
八大综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv039
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv054
爱尔达娱乐,https://litv.zapi.us.kg/?id=4gtv-4gtv070
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
民视综艺,https://litv.zapi.us.kg/?id=4gtv-4gtv004
热门综艺,http://wouu.net:9977/udp/239.93.0.151:5140
超级综艺,http://112.102.217.173:9003//hls/87/index.m3u8
金牌综艺,http://112.102.217.173:9003//hls/90/index.m3u8
Channel U,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Channel 5,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8

咪咕,#genre#
CCTV1综合,http://182.92.109.190:1668/migu720/migu720.php?id=cctv1
CCTV2财经,http://182.92.109.190:1668/migu720/migu720.php?id=cctv2
CCTV3综艺,http://182.92.109.190:1668/migu720/migu720.php?id=cctv3
CCTV4中文国际,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4
CCTV4美洲,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4a
CCTV4欧洲,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4o
CCTV5体育,http://182.92.109.190:1668/migu720/migu720.php?id=cctv5
CCTV5+体育赛事,http://182.92.109.190:1668/migu720/migu720.php?id=cctv5p
CCTV6电影,http://182.92.109.190:1668/migu720/migu720.php?id=cctv6
CCTV7国防军事,http://182.92.109.190:1668/migu720/migu720.php?id=cctv7
CCTV8电视剧,http://182.92.109.190:1668/migu720/migu720.php?id=cctv8
CCTV9纪录,http://182.92.109.190:1668/migu720/migu720.php?id=cctv9
CCTV10科教,http://182.92.109.190:1668/migu720/migu720.php?id=cctv10
CCTV11戏曲,http://182.92.109.190:1668/migu720/migu720.php?id=cctv11
CCTV12社会与法,http://182.92.109.190:1668/migu720/migu720.php?id=cctv12
CCTV13新闻,http://182.92.109.190:1668/migu720/migu720.php?id=cctv13
CCTV14少儿,http://182.92.109.190:1668/migu720/migu720.php?id=cctv14
CCTV15音乐,http://182.92.109.190:1668/migu720/migu720.php?id=cctv15

📡  卫视,#genre#
浙江卫视,http://211.72.65.236:8571/http/61.67.128.137:8078/hls/41/80/zhejiang.m3u8
浙江卫视,http://vod.hnqczh.cn:808/hls/22/index.m3u8
湖南卫视,http://211.72.65.236:8573/http/61.67.128.137:8078/hls/41/80/huana.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8,
湖南卫视,http://112.102.217.173:9003//hls/37/index.m3u8
湖南娱乐,http://vod.hnqczh.cn:808/hls/7/index.m3u8
金鹰纪实,http://vod.hnqczh.cn:808/hls/8/index.m3u8
北京卫视,http://vod.hnqczh.cn:808/hls/25/index.m3u8
东方卫视,http://vod.hnqczh.cn:808/hls/23/index.m3u8
深圳卫视,http://vod.hnqczh.cn:808/hls/28/index.m3u8
安徽卫视,http://vod.hnqczh.cn:808/hls/24/index.m3u8
河北卫视,http://vod.hnqczh.cn:808/hls/44/index.m3u8
天津卫视,http://vod.hnqczh.cn:808/hls/26/index.m3u8
四川卫视,http://vod.hnqczh.cn:808/hls/36/index.m3u8
黑龙江卫视,http://vod.hnqczh.cn:808/hls/43/index.m3u8
重庆卫视,http://vod.hnqczh.cn:808/hls/41/index.m3u8
山西卫视,http://vod.hnqczh.cn:808/hls/47/index.m3u8
吉林卫视,http://vod.hnqczh.cn:808/hls/45/index.m3u8
辽宁卫视,http://vod.hnqczh.cn:808/hls/29/index.m3u8
宁夏卫视,http://vod.hnqczh.cn:808/hls/48/index.m3u8
甘肃卫视,http://vod.hnqczh.cn:808/hls/49/index.m3u8
青海卫视,http://vod.hnqczh.cn:808/hls/34/index.m3u8
陕西卫视,http://vod.hnqczh.cn:808/hls/46/index.m3u8
山东卫视,http://vod.hnqczh.cn:808/hls/35/index.m3u8
河南卫视,http://vod.hnqczh.cn:808/hls/42/index.m3u8
湖北卫视,http://vod.hnqczh.cn:808/hls/33/index.m3u8
金鹰卡通,http://vod.hnqczh.cn:808/hls/6/index.m3u8
江西卫视,http://vod.hnqczh.cn:808/hls/27/index.m3u8
江苏卫视,http://vod.hnqczh.cn:808/hls/37/index.m3u8
东南卫视,http://vod.hnqczh.cn:808/hls/30/index.m3u8
广东卫视,http://vod.hnqczh.cn:808/hls/32/index.m3u8
广西卫视,http://vod.hnqczh.cn:808/hls/40/index.m3u8
云南卫视,http://vod.hnqczh.cn:808/hls/38/index.m3u8
贵州卫视,http://vod.hnqczh.cn:808/hls/39/index.m3u8
海南卫视,http://vod.hnqczh.cn:808/hls/31/index.m3u8
北京少儿,http://vod.hnqczh.cn:808/hls/50/index.m3u8
广东影视,http://dd.ddzb.fun/php/migu.php?id=gdys
东方影视,http://dd.ddzb.fun/php/migu.php?id=dfys
魅力足球,http://dd.ddzb.fun/php/migu.php?id=mlzq
游戏风云,http://dd.ddzb.fun/php/migu.php?id=yxfy
掼蛋精英,http://dd.ddzb.fun/php/migu.php?id=gdjys
UFC赛事,http://dd.ddzb.fun/php/migu.php?id=ufcgdjx

测试,#genre#
凤凰中文,http://kxrj.site:8081/8647/fh.php?id=fhzw
凤凰资讯,http://kxrj.site:8081/8647/fh.php?id=fhzx
凤凰香港,http://kxrj.site:8081/8647/fh.php?id=fhhk
凤凰资讯,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
凤凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰中文,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv
凤凰资讯,https://stream1.freetv.fun/2a72335a63dd0749c5a32d1bf1b0c001a81a26cc81d7e94534791d36f2c87d7d.ctv
凤凰香港备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
TVB翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
TVB星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
无线新闻,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
无线翡翠,http://cdn2.1689.us.kg/live/?id=gdfct
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线华丽频粤,http://v2h.jdshipin.com/jade2/jade.stream/chunklist.m3u8
无线直播,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist.m3u8
无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist.m3u8
无线生活,http://v2h.jdshipin.com/finance2/finance2.stream/chunklist.m3u8
无线生活,https://www.mytvsuper.xyz/tvb/shenghuo/stream.m3u8
无线生活,http://205.185.123.236:8899/tvb/Finance/stream.m3u8
无线星河粤,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist.m3u8
无线星河国,https://www.mytvsuper.xyz/tvb/xinghe/stream.m3u8
无线星河国,http://205.185.123.236:8899/tvb/xinghe/stream.m3u8
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典,https://www.mytvsuper.xyz/astro/qianxi/stream.m3u8
千禧经典,http://205.185.123.236:8899/astro/qianxi/stream.m3u8
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
Now星影,https://www.mytvsuper.xyz/1/now/stream.m3u8
Now星影,http://205.185.123.236:8899/1/now/stream.m3u8
美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
影迷电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
