云南4K,udp//:239.200.200.178:8884
云南康旅,udp//:239.200.200.31:8860
云南少儿,udp//:239.200.200.32:8864
云南卫视,udp//:239.200.200.145:8840
云南影视,udp//:239.200.200.15:8856
云南娱乐,udp//:239.200.200.13:8848
CCTV-1综合,udp//:239.200.200.2:8080
CCTV-2财经,udp//:239.200.200.1:8004
CCTV-3综艺,udp//:239.200.200.71:8012
CCTV-4中文国际,udp//:239.200.200.19:8216
CCTV-4K,udp//:239.200.200.202:8784
CCTV-4中文国际美洲,udp//:239.200.201.181:4220
CCTV-4中文国际欧洲,udp//:239.200.201.180:4220
CCTV-5体育,udp//:239.200.200.10:9008
CCTV-5+体育赛事,udp//:239.200.200.9:8004
CCTV-6电影,udp//:239.200.200.21:9020
CCTV-7国防军事,udp//:239.200.200.22:8024
CCTV-8电视剧,udp//:239.200.200.72:9020
CCTV-9纪录,udp//:239.200.200.24:8032
CCTV-10科教,udp//:239.200.200.107:8116
CCTV-11戏曲,udp//:239.200.201.125:8480
CCTV-12社会与法,udp//:239.200.200.27:8232
CCTV-13新闻,udp//:239.200.200.4:8484
CCTV-14少儿,udp//:239.200.200.28:8236
CCTV-15音乐,udp//:239.200.201.112:8496
CCTV-16奥林匹克,udp//:239.200.200.193:8776
CCTV-16奥林匹克,udp//:239.200.200.194:8780
CCTV-17农业农村,udp//:239.200.201.128:8504
CCTV-兵器科技,udp//:239.200.200.91:8036
CCTV-第一剧场,udp//:239.200.200.82:8004
CCTV-电视指南,udp//:239.200.200.83:8000
CCTV-风云剧场,udp//:239.200.200.84:8016
CCTV-风云音乐,udp//:239.200.200.86:8008
CCTV-风云足球,udp//:239.200.200.88:8020
CCTV-高尔夫网球,udp//:239.200.200.89:8024
CCTV-怀旧剧场,udp//:239.200.200.85:8032
CCTV-新影老故事,udp//:239.200.200.93:8088
CCTV-女性时尚,udp//:239.200.200.100:8084
CCTV-世界地理,udp//:239.200.200.130:8012
CCTV-央视台球,udp//:239.200.200.135:8076
CCTV-央视文化精品,udp//:239.200.200.92:8028
CCTV-中学生频道,udp//:239.200.200.136:8060
CETV-1综合教育,udp//:239.200.201.145:8852
CETV-2教育教学,udp//:239.200.201.121:8780
CETV-4职业教育,udp//:239.200.201.122:8784
CGTN,udp//:239.200.201.185:4220
CHC动作电影,udp//:239.200.201.31:8144
CHC影迷电影,udp//:239.200.201.34:8148
CHC家庭影院,udp//:239.200.201.30:8140
Unknown_163,udp//:239.200.200.51:8272
安徽卫视,udp//:239.200.200.37:8212
BRTV纪实科教,udp//:239.200.200.147:8728
北京卫视,udp//:239.200.200.5:8024
财富天下,udp//:239.200.201.178:8684
茶频道,udp//:239.200.201.36:8404
车迷,udp//:239.200.201.174:8640
楚雄文旅,udp//:239.200.200.117:8712
楚雄综合,udp//:239.200.200.116:8708
大湾区卫视,udp//:239.200.201.146:8136
电视剧,udp//:239.200.200.78:1234
东方卫视,udp//:239.200.200.48:8260
东南卫视,udp//:239.200.200.50:8268
动漫,udp//:239.200.200.75:9000
CCTV-发现之旅,udp//:239.200.201.164:8128
风尚购物,udp//:239.200.201.154:8896
甘肃卫视,udp//:239.200.200.63:8320
购物,udp//:239.200.201.176:8676
广东卫视,udp//:239.200.200.52:8276
广西卫视,udp//:239.200.200.53:8280
贵州卫视,udp//:239.200.200.45:8248
国学频道,udp//:239.200.200.97:8108
海南卫视,udp//:239.200.200.59:8304
河北卫视,udp//:239.200.200.12:8844
河南卫视,udp//:239.200.200.41:8232
黑龙江卫视,udp//:239.200.200.66:8016
湖北卫视,udp//:239.200.200.68:8772
湖南卫视,udp//:239.200.200.6:8012
环球旅游,udp//:239.200.201.175:8652
环球奇观,udp//:239.200.200.94:8100
吉林卫视,udp//:239.200.200.54:8284
家庭理财,udp//:239.200.201.177:8656
家有精选,udp//:239.200.200.14:8852
江苏卫视,udp//:239.200.200.36:8208
江西卫视,udp//:239.200.200.44:8244
