移动,#genre#
CCTV-1,rtp://228.0.0.101:5051
CCTV-2高清,rtp://228.0.0.102:5052
CCTV-3标清,rtp://228.0.0.3:5003
CCTV-4高清,rtp://228.0.0.104:5054
CCTV-5标清,rtp://228.0.0.5:5005
CCTV-6标清,rtp://228.0.0.6:5006
CCTV-7高清,rtp://228.0.0.107:5057
CCTV-8标清,rtp://228.0.0.8:5008
CCTV-9高清,rtp://228.0.0.109:5059
CCTV-10高清,rtp://228.0.0.110:5060
CCTV-11标清,rtp://228.0.0.11:5011
CCTV-12高清,rtp://228.0.0.112:5062
CCTV-13标清,rtp://228.0.0.13:5013
CCTV-14高清,rtp://228.0.0.114:5064
CCTV-15标清,rtp://228.0.0.15:5015
云南卫视高清,rtp://228.0.1.200:5400
云南都市频道,rtp://228.0.1.201:5401
云南影视标清,rtp://228.0.1.205:5405
云南公共频道,rtp://228.0.1.202:5402
云南少儿频道,rtp://228.0.1.203:5403
昆明6,rtp://228.0.1.16:5116
浙江卫视高清,rtp://228.0.2.132:5804
江苏卫视高清,rtp://228.0.2.134:5806
湖南卫视高清,rtp://228.0.2.135:5807
东方卫视高清,rtp://228.0.2.130:5802
北京卫视高清,rtp://228.0.2.128:5800
天津卫视高清,rtp://228.0.2.137:5809
安徽卫视高清,rtp://228.0.2.136:5808
深圳卫视高清,rtp://228.0.2.133:5805
重庆卫视高清,rtp://228.0.2.139:5811
山东卫视高清,rtp://228.0.2.138:5810
辽宁卫视高清,rtp://228.0.2.131:5803
湖北卫视高清,rtp://228.0.2.140:5812
四川卫视高清,rtp://228.0.2.129:5801
河南卫视标清,rtp://228.0.2.27:5627
黑龙江卫视高清,rtp://228.0.2.23:5623
吉林卫视标清,rtp://228.0.2.36:5636
河北卫视标清,rtp://228.0.2.9:5609
广东卫视标清,rtp://228.0.2.6:5606
江西卫视高清,rtp://228.0.2.29:5629
山西卫视标清,rtp://228.0.2.25:5625
贵州卫视,rtp://228.0.2.18:5618
广西卫视标清,rtp://228.0.2.5:5605
宁夏卫视标清,rtp://228.0.2.28:5628
陕西卫视,rtp://228.0.2.26:5626
甘肃卫视,rtp://228.0.2.7:5607
青海卫视,rtp://228.0.2.1:5601
金鹰卡通,rtp://228.0.2.4:5604
炫动卡通,rtp://228.0.2.3:5603
动漫秀场高清,rtp://228.0.3.3:5903
