电信,#genre#
CCTV1综合,rtp://239.29.0.113:5000
CCTV2财经,rtp://239.29.0.116:5000
CCTV3综艺,rtp://239.29.1.133:5000
CCTV4国际,rtp://239.29.0.87:5000
CCTV5体育,rtp://239.29.1.134:5000
CCTV6电影,rtp://239.29.1.135:5000
CCTV7国防军事,rtp://239.29.0.117:5000
CCTV8电视剧,rtp://239.29.1.136:5000
CCTV9记录,rtp://239.29.0.118:5000
CCTV10科教,rtp://239.29.0.119:5000
CCTV11戏曲,rtp://239.29.0.205:5000
CCTV12社会与法,rtp://239.29.0.120:5000
CCTV13新闻,rtp://239.29.1.123:5000
CCTV14少儿,rtp://239.29.0.121:5000
CCTV15音乐,rtp://239.29.0.206:5000
CCTV5+体育赛事,rtp://239.29.0.143:5000
CCTV16奥林匹克4K,rtp://239.29.1.149:5000
CCTV16奥林匹克,rtp://239.29.1.146:5000
CCTV17农业农村,rtp://239.29.0.145:5000
CETV1中国教育,rtp://239.29.0.95:5000
内蒙古卫视,rtp://239.29.0.2:5000
内蒙古少儿频道,rtp://239.29.0.207:5000
内蒙古新闻综合,rtp://239.29.0.208:5000
内蒙古农牧频道,rtp://239.29.0.209:5000
内蒙古文体娱乐,rtp://239.29.0.211:5000
内蒙古经济生活,rtp://239.29.0.212:5000
福州新闻综合,rtp://239.29.0.11:5000
福州都市生活,rtp://239.29.0.12:5000
赤峰新闻综合,rtp://239.29.0.13:5000
赤峰经济服务,rtp://239.29.0.14:5000
赤峰影视娱乐,rtp://239.29.0.15:5000
呼伦贝尔新闻综合,rtp://239.29.0.19:5000
呼伦贝尔文化旅游,rtp://239.29.0.20:5000
呼伦贝尔生活资讯,rtp://239.29.0.21:5000
阿尔山电视台，rtp://239.29.1.112:5000
巴彦淖尔新闻综合,rtp://239.29.0.25:5000
巴彦淖尔经济综合,rtp://239.29.0.26:5000
巴彦淖尔影视娱乐,rtp://239.29.0.27:5000
杭锦旗综合频道，rtp://239.29.1.147:5000
鄂尔多斯新闻综合,rtp://239.29.0.30:5000
鄂尔多斯经济服务,rtp://239.29.0.31:5000
鄂尔多斯城市生活,rtp://239.29.0.32:5000
呼和浩特新闻综合,rtp://239.29.0.35:5000
呼和浩特都市生活,rtp://239.29.0.36:5000
呼和浩特影视娱乐,rtp://239.29.0.37:5000
锡林郭勒盟XMTV-1,rtp://239.29.0.38:5000
锡林郭勒盟XMTV-2,rtp://239.29.0.39:5000
通辽新闻综合,rtp://239.29.0.41:5000
达茂旗电视台,rtp://239.29.1.101:5000
库伦旗电视台,rtp://239.29.1.100:5000
湖南卫视,rtp://239.29.0.90:5000
湖南金鹰纪实,rtp://239.29.0.92:5000
黑龙江卫视,rtp://239.29.0.91:5000
浙江卫视,rtp://239.29.0.96:5000
东方卫视,rtp://239.29.0.97:5000
天津卫视,rtp://239.29.0.98:5000
重庆卫视,rtp://239.29.0.99:5000
四川卫视,rtp://239.29.0.100:5000
江苏卫视,rtp://239.29.0.102:5000
东南卫视,rtp://239.29.0.103:5000
贵州卫视,rtp://239.29.0.104:5000
深圳卫视,rtp://239.29.0.105:5000
山东卫视,rtp://239.29.0.106:5000
湖北卫视,rtp://239.29.0.107:5000
北京卫视,rtp://239.29.0.108:5000
辽宁卫视,rtp://239.29.0.109:5000
吉林卫视,rtp://239.29.1.125:5000
济南新闻综合,rtp://239.29.0.111:5000
济南生活服务,rtp://239.29.0.112:5000
广东卫视,rtp://239.29.0.123:5000
河北卫视,rtp://239.29.0.124:5000
江西卫视,rtp://239.29.0.125:5000
海南卫视,rtp://239.29.1.126:5000
游戏风云,rtp://239.29.0.1975000
上海都市剧场,rtp://239.29.0.198:5000
上海欢笑剧场,rtp://239.29.0.200:5000
上海欢笑剧场4K,rtp://239.29.1.114:5000
上海纪实人文,rtp://239.29.0.101:5000
全纪实,rtp://239.29.0.202:5000
动漫秀场,rtp://239.29.0.203:5000
