内蒙古蒙古语卫视,rtp://239.125.1.66:5000
内蒙古卫视,rtp://239.125.1.59:5000
内蒙古经济,rtp://239.125.1.74:4120
内蒙古文体,rtp://239.125.1.72:4120
内蒙古农牧,rtp://239.125.1.73:4120
内蒙古新闻,rtp://239.125.1.70:4120
内蒙古蒙语文化,rtp://239.125.1.71:4120
内蒙古少儿,rtp://239.125.1.69:4120
CCTV1,rtp://239.125.1.177:4130
CCTV2,rtp://239.125.1.118:4130
CCTV3,rtp://239.125.2.52:4120
CCTV4,rtp://239.125.1.141:4130
CCTV5,rtp://239.125.2.54:4120
CCTV5+,rtp://239.125.1.57:5000
CCTV6,rtp://239.125.2.56:4120
CCTV7,rtp://239.125.1.131:4130
CCTV8,rtp://239.125.2.58:4120
CCTV9,rtp://239.125.1.142:4130
CCTV10,rtp://239.125.1.143:4130
CCTV11,rtp://239.125.1.134:4130
CCTV12,rtp://239.125.1.161:4130
CCTV13,rtp://239.125.1.53:4120
CCTV14,rtp://239.125.1.162:4130
CCTV15,rtp://239.125.1.163:4130
CCTVNEWS,rtp://239.125.1.140:4130
鄂尔多斯蒙古语综合,rtp://239.125.2.162:4151
鄂尔多斯新闻,rtp://239.125.2.165:4154
鄂尔多斯经济,rtp://239.125.2.164:4153
鄂尔多斯城市,rtp://239.125.2.163:4152
浙江卫视,rtp://239.125.1.159:4130
江苏卫视,rtp://239.125.1.172:4130
湖北卫视,rtp://239.125.1.152:4130
广东卫视,rtp://239.125.1.154:4130
三佳购物,rtp://239.125.2.144:4120
山西卫视,rtp://239.125.1.119:4130
贵州卫视,rtp://239.125.1.158:4130
东方卫视,rtp://239.125.1.116:4130
辽宁卫视,rtp://239.125.1.115:4130
山东卫视,rtp://239.125.1.149:4130
吉林卫视,rtp://239.125.2.205:4120
黑龙江卫视,rtp://239.125.1.171:4130
广西卫视,rtp://239.125.1.167:4130
兵团卫视,rtp://239.125.1.135:4130
安徽卫视,rtp://239.125.1.173:4130
北京卫视,rtp://239.125.1.176:4130
东南卫视,rtp://239.125.1.164:4130
河北卫视,rtp://239.125.1.169:4130
天津卫视,rtp://239.125.1.153:4130
