CCTV1HD,rtp://225.1.8.1:8008
CCTV2HD,rtp://225.1.8.2:8084
CCTV3HD,rtp://225.1.8.88:8000
CCTV4HD,rtp://225.1.8.4:8092
CCTV5HD,rtp://225.1.8.89:8000
CCTV5⁺HD,rtp://225.1.8.20:8004
CCTV6HD,rtp://225.1.8.84:8000
CCTV7HD,rtp://225.1.8.7:8104
CCTV8HD,rtp://225.1.8.85:8000
CCTV9HD,rtp://225.1.8.9:8112
CCTV10HD,rtp://225.1.8.10:8116
CCTV11HD,rtp://225.1.8.73:8120
CCTV12HD,rtp://225.1.8.12:8124
CCTV13HD,rtp://225.1.8.168:8130
CCTV14HD,rtp://225.1.8.14:8132
CCTV15HD,rtp://225.1.8.74:8136
CCTV17HD,rtp://225.1.8.17:8144
CETV1,rtp://225.1.8.169:4120
北京卫视,rtp://225.1.8.21:8002
北京文艺,rtp://225.1.8.122:8002
北京科教,rtp://225.1.8.123:8002
北京影视,rtp://225.1.8.124:8002
北京财经,rtp://225.1.8.125:8002
北京冬奥纪实,rtp://225.1.8.126:8002
北京生活,rtp://225.1.8.127:8002
北京青年,rtp://225.1.8.128:8002
北京新闻,rtp://225.1.8.129:8002
北京卡酷少儿,rtp://225.1.8.130:8002
北京冬奥纪实 4K,rtp://225.1.8.164:8002
房山,rtp://225.1.8.68:8002
朝阳融媒,rtp://225.1.8.69:8002
密云,rtp://225.1.8.75:8002
湖南卫视,rtp://225.1.8.132:8064
黑龙江卫视,rtp://225.1.8.141:8196
深圳卫视,rtp://225.1.8.145:9244
江苏卫视,rtp://225.1.8.134:8276
东方卫视,rtp://225.1.8.147:8192
浙江卫视,rtp://225.1.8.133:8284
湖北卫视,rtp://225.1.8.146:8136
天津卫视,rtp://225.1.8.136:8144
广东卫视,rtp://225.1.8.151:8132
山东卫视,rtp://225.1.8.138:8148
辽宁卫视,rtp://225.1.8.137:8116
安徽卫视,rtp://225.1.8.135:8272
河北卫视,rtp://225.1.8.150:8292
贵州卫视,rtp://225.1.8.144:8120
东南卫视,rtp://225.1.8.149:8112
江西卫视,rtp://225.1.1.9:8164
重庆卫视,rtp://225.1.8.148:8296
金鹰纪实,rtp://225.1.8.31:8156
纪实人文,rtp://225.1.8.53:8060
快乐垂钓,rtp://225.1.8.71:8002
茶频道,rtp://225.1.8.72:8002
每日影院,rtp://225.1.8.97:8002
幸福剧场,rtp://225.1.8.98:8002
幸福娱乐,rtp://225.1.8.99:8002
风尚生活,rtp://225.1.8.103:8002
中国足协杯,rtp://225.1.8.40:8184
体育赛事,rtp://225.1.8.81:8176
爱上4K,rtp://225.1.8.80:2000
北京IPTV淘精彩,rtp://225.1.8.33:8002
北京IPTV淘BABY,rtp://225.1.8.36:8002
北京IPTV淘剧场,rtp://225.1.8.37:8002
北京IPTV淘电影,rtp://225.1.8.38:8002
北京IPTV淘娱乐,rtp://225.1.8.61:8002
北京IPTV萌宠TV,rtp://225.1.8.63:8002
北京IPTV4K,rtp://225.1.8.211:8002
熊猫频道,rtp://225.1.8.210:8068
大健康,rtp://225.1.8.39:8002
聚鲨环球精选,rtp://225.1.8.67:8002
聚鲨北京,rtp://225.1.8.70:8002
聚鲨健康,rtp://225.1.8.94:8002
聚鲨生活,rtp://225.1.8.95:8002
聚鲨国际,rtp://225.1.8.96:8002
CCTV1,rtp://225.1.8.101:8080
CCTV2,rtp://225.1.8.102:8004
CCTV3,rtp://225.1.8.92:8000
CCTV4,rtp://225.1.8.104:8216
CCTV5,rtp://225.1.8.93:8000
CCTV6,rtp://225.1.8.90:8000
CCTV7,rtp://225.1.8.107:8024
CCTV8,rtp://225.1.8.91:8000
