CCTV1,rtp://239.37.0.254:5540
CCTV2,rtp://239.37.0.003:5540
CCTV3,rtp://239.37.0.231:5540
cctv4,rtp://239.37.0.022:5540
CCTV5,rtp://239.37.0.232:5540
CCTV5+,rtp://239.37.0.121:5540
CCTV6,rtp://239.37.0.233:5540
CCTV8,rtp://239.37.0.234:5540
CCTV9,rtp://239.37.0.001:5540
CCTV10,rtp://239.37.0.007:5540
CCTV12,rtp://239.37.0.006:5540
cctv13,rtp://239.37.0.028:5540
CCTV14,rtp://239.37.0.005:5540
CCTV17,rtp://239.37.0.002:5540
CCTV女性时尚,rtp://239.37.0.069:5540
CCTV世界地理,rtp://239.37.0.079:5540
CCTV第一剧场,rtp://239.37.0.078:5540
CCTV风云足球,rtp://239.37.0.080:5540
CCTV风云音乐,rtp://239.37.0.081:5540
CCTV怀旧剧场,rtp://239.37.0.082:5540
CCTV文化精品,rtp://239.37.0.083:5540
CCTV兵器科技,rtp://239.37.0.084:5540
CCTV电视指南,rtp://239.37.0.115:5540
CCTV高尔夫网球,rtp://239.37.0.230:5540
CCTV卫生健康,rtp://239.37.0.229:5540
CCTV风云剧场,rtp://239.37.0.114:5540
CCTV台球,rtp://239.37.0.163:5540
max极速汽车,rtp://239.37.0.237:5540
家家购物,rtp://239.37.0.235:5540
citv都市剧场,rtp://239.37.0.241:5540
生活时尚,rtp://239.37.0.240:5540
金色学堂,rtp://239.37.0.239:5540
动漫秀场,rtp://239.37.0.242:5540
游戏风云,rtp://239.37.0.243:5540
快乐垂钓,rtp://239.37.0.244:5540
湖南茶频道,rtp://239.37.0.245:5540
湖南卫视,rtp://239.37.0.038:5540
天津卫视,rtp://239.37.0.064:5540
北京卫视,rtp://239.37.0.050:5540
广东卫视,rtp://239.37.0.033:5540
黑龙江卫视,rtp://239.37.0.032:5540
山东卫视,rtp://239.37.0.049:5540
深圳卫视,rtp://239.37.0.047:5540
湖北卫视,rtp://239.37.0.040:5540
东南卫视,rtp://239.37.0.042:5540
吉林卫视,rtp://239.37.0.101:5540
东方卫视,rtp://239.37.0.048:5540
江苏卫视,rtp://239.37.0.055:5540
每日影视,rtp://239.37.0.221:5540
CHC动作电影,rtp://239.37.0.186:5540
CHC高清电影,rtp://239.37.0.187:5540
CHC家庭影院,rtp://239.37.0.188:5540
幸福剧场,rtp://239.37.0.222:5540
中国交通,rtp://239.37.0.226:5540
全纪实,rtp://239.37.0.236:5540
法制天地,rtp://239.37.0.238:5540
风尚生活,rtp://239.37.0.224:5540
幸福娱乐,rtp://239.37.0.223:5540
crt综合,rtp://239.37.0.096:5540
crt娱乐,rtp://239.37.0.097:5540
crt市民,rtp://239.37.0.098:5540
crt经济,rtp://239.37.0.099:5540
crt汽车,rtp://239.37.0.100:5540
汽摩,rtp://239.37.0.090:5540
四川卫视,rtp://239.37.0.041:5540
浙江卫视,rtp://239.37.0.037:5540
纪实人文,rtp://239.37.0.152:5540
河北卫视,rtp://239.37.0.052:5540
河南卫视,rtp://239.37.0.056:5540
江西卫视,rtp://239.37.0.043:5540
贵州卫视,rtp://239.37.0.058:5540
重庆卫视,rtp://239.37.0.062:5540
安徽卫视,rtp://239.37.0.046:5540
辽宁卫视,rtp://239.37.0.044:5540
金鹰纪实,rtp://239.37.0.161:5540
东奥纪实,rtp://239.37.0.162:5540
cctv1,rtp://239.37.0.218:5540
cetv1,rtp://239.37.0.193:5540
cgtn,rtp://239.37.0.024:5540
cctv2,rtp://239.37.0.021:5540
cctv3,rtp://239.37.0.189:5540
cctv5,rtp://239.37.0.190:5540
cctv6,rtp://239.37.0.191:5540
cctv8,rtp://239.37.0.192:5540
cctv9,rtp://239.37.0.122:5540
cctv10,rtp://239.37.0.025:5540
cctv11,rtp://239.37.0.026:5540
cctv12,rtp://239.37.0.027:5540
cctv14,rtp://239.37.0.029:5540
cctv15,rtp://239.37.0.030:5540
cctv17,rtp://239.37.0.023:5540
CGTn,rtp://239.37.0.031:5540
甘肃卫视,rtp://239.37.0.034:5540
海南卫视,rtp://239.37.0.035:5540
内蒙古卫视,rtp://239.37.0.036:5540
新疆卫视,rtp://239.37.0.039:5540
陕西卫视,rtp://239.37.0.045:5540
广西卫视,rtp://239.37.0.051:5540
山西卫视,rtp://239.37.0.053:5540
西藏卫视,rtp://239.37.0.054:5540
青海卫视,rtp://239.37.0.057:5540
兵团卫视,rtp://239.37.0.059:5540
