天津卫视,udp//:239.5.1.1:5000
天津新闻,udp//:239.5.1.30:5000
天津文艺,udp//:239.5.1.31:5000
天津影视,udp//:239.5.1.2:5000
天津都市,udp//:239.5.1.27:5000
天津体育,udp//:239.5.1.3:5000
天津科教,udp//:239.5.1.29:5000
天津少儿,udp//:239.5.1.24:5000
滨海1,udp//:239.5.0.167:5000
滨海2,udp//:239.5.0.168:5000
CCTV-1综合,udp//:239.5.1.4:5000
CCTV-2财经,udp//:239.5.1.5:5000
CCTV-3综艺,udp//:239.5.1.101:5000
CCTV-4中文国际,udp//:239.5.1.6:5000
CCTV-5体育,udp//:239.5.1.102:5000
CCTV-5+体育赛事,udp//:239.5.1.7:5000
CCTV-6电影,udp//:239.5.1.103:5000
CCTV-7国防军事,udp//:239.5.1.8:5000
CCTV-8电视剧,udp//:239.5.1.104:5000
CCTV-9纪录,udp//:239.5.1.9:5000
CCTV-10科教,udp//:239.5.1.10:5000
CCTV-11戏曲,udp//:239.5.1.137:5000
CCTV-12社会与法,udp//:239.5.1.11:5000
CCTV-13新闻,udp//:239.5.1.138:5000
CCTV-14少儿,udp//:239.5.1.12:5000
CCTV-15音乐,udp//:239.5.1.139:5000
CCTV-17农业农村,udp//:239.5.1.140:5000
浙江卫视,udp//:239.5.1.14:5000
北京卫视,udp//:239.5.1.89:5000
湖南卫视,udp//:239.5.1.16:5000
黑龙江卫视,udp//:239.5.1.17:5000
广东卫视,udp//:239.5.1.18:5000
深圳卫视,udp//:239.5.1.19:5000
湖北卫视,udp//:239.5.1.20:5000
山东卫视,udp//:239.5.1.21:5000
四川卫视,udp//:239.5.1.22:5000
金鹰纪实,udp//:239.5.1.23:5000
江苏卫视,udp//:239.5.1.25:5000
安徽卫视,udp//:239.5.1.26:5000
辽宁卫视,udp//:239.5.1.46:5000
重庆卫视,udp//:239.5.0.60:5000
东方卫视,udp//:239.5.1.81:5000
河北卫视,udp//:239.5.1.82:5000
吉林卫视,udp//:239.5.1.83:5000
江西卫视,udp//:239.5.1.84:5000
贵州卫视,udp//:239.5.1.85:5000
BRTV冬奥,udp//:239.5.1.86:5000
上海纪实,udp//:239.5.1.87:5000
河南卫视,udp//:239.5.1.109:5000
广西卫视,udp//:239.5.1.110:5000
云南卫视,udp//:239.5.0.61:5000
海南卫视,udp//:239.5.1.111:5000
西藏卫视,udp//:239.5.0.51:5000
青海卫视,udp//:239.5.0.126:5000
宁夏卫视,udp//:239.5.0.56:5000
兵团卫视,udp//:239.5.0.57:5000
