电信,#genre#
CCTV1高清,rtp://239.121.4.113:8636
CCTV2高,rtp://239.121.4.155:8914
CCTV3高清,rtp://239.121.4.151:8890
CCTV4标清,rtp://239.121.4.4:7992
CCTV5高清,rtp://239.121.4.152:8896
CCTV6高清,rtp://239.121.4.153:8902
CCTV7高清,rtp://239.121.4.156:8920
CCTV8高清,rtp://239.121.4.154:8908
CCTV9高清,rtp://239.121.4.157:8926
CCTV10高清,rtp://239.121.4.158:8932
CCTV11标清,rtp://239.121.4.11:8016
CCTV12高清,rtp://239.121.4.159:8938
CCTV新闻,rtp://239.121.4.13:8028
CCTV少儿高清,rtp://239.121.4.160:8944
CCTV音乐,rtp://239.121.4.16:8040
CCTVNEWS,rtp://239.121.4.14:8004
CCTV5高清,rtp://239.121.4.140:8852
宁夏卫视,rtp://239.121.4.24:8118
宁夏公共,rtp://239.121.4.19:8088
宁夏经济,rtp://239.121.4.17:8076
宁夏影视,rtp://239.121.4.18:8082
宁夏少儿,rtp://239.121.4.23:8112
宁夏教育,rtp://239.121.4.20:8094
IP剧场,rtp://239.121.4.99:8568
银川公共,rtp://239.121.4.21:8100
银川文体,rtp://239.121.4.22:8106
银川生活,rtp://239.121.4.106:8610
湖北卫视高清,rtp://239.121.4.126:8738
东方卫视高清,rtp://239.121.4.109:8636
湖南卫视高清,rtp://239.121.4.114:8666
江苏卫视高清,rtp://239.121.4.115:8672
浙江卫视高清,rtp://239.121.4.116:8678
北京卫视高清,rtp://239.121.4.117:8684
广东卫视高清,rtp://239.121.4.118:8690
深圳卫视高清,rtp://239.121.4.119:8696
黑龙江高清,rtp://239.121.4.120:8702
安徽卫视高清,rtp://239.121.4.161:8950
山东卫视高清,rtp://239.121.4.162:8956
辽宁卫视高清,rtp://239.121.4.163:8962 
河南卫视,rtp://239.121.4.40:8214
天津卫视,rtp://239.121.4.41:8220
山西卫视,rtp://239.121.4.32:8166
吉林卫视,rtp://239.121.4.43:8232
陕西卫视,rtp://239.121.4.38:8202
东南卫视,rtp://239.121.4.45:8244
江西卫视,rtp://239.121.4.35:8184
广西卫视,rtp://239.121.4.47:8256
云南卫视,rtp://239.121.4.48:8262
贵州卫视,rtp://239.121.4.49:8268
重庆卫视,rtp://239.121.4.36:8190
甘肃卫视,rtp://239.121.4.25:8124
河北卫视,rtp://239.121.4.39:8208
四川卫视,rtp://239.121.4.37:8196
新疆卫视,rtp://239.121.4.58:8322
青海卫视,rtp://239.121.4.55:8304
西藏卫视,rtp://239.121.4.56:8310
内蒙古卫视,rtp://239.121.4.57:8316
纪实高清,rtp://239.121.4.164:8968
熊猫频道高清,rtp://239.121.4.165:8974
IPTV3,rtp://239.121.4.142:8846
IPTV5,rtp://239.121.4.143:8828
IPTV6,rtp://239.121.4.144:8834
IPTV8,rtp://239.121.4.145:8840
金鹰卡通,rtp://239.121.4.52:8286
卡酷卡通,rtp://239.121.4.53:8292 
嘉佳卡通,rtp://239.121.4.79:8448
动画,rtp://239.121.4.166:8980
少儿动画,rtp://239.121.4.87:8496
炫动卡通,rtp://239.121.4.51:8280
动漫秀场,rtp://239.121.4.74:8418
金鹰纪实高清,rtp://239.121.4.167:8986
游戏风云,rtp://239.121.4.75:8424
家庭影院,rtp://239.121.4.80:8454
光影,rtp://239.121.4.84:8478
星影,rtp://239.121.4.168:8992
精选,rtp://239.121.4.169:9190
IPTV谍战剧场,rtp://239.121.4.170:9004
热播剧场,rtp://239.121.4.171:9010
经典电影,rtp://239.121.4.172:9016
城市剧场,rtp://239.121.4.173:9022
军旅剧场,rtp://239.121.4.174:9028 
古装剧场,rtp://239.121.4.175:9034
喜剧影院,rtp://239.121.4.176:9040
动作影院,rtp://239.121.4.177:9046;
武侠剧场,rtp://239.121.4.179:9058
中国教育1高清,rtp://239.121.4.180:9064
都市剧场,rtp://239.121.4.62:8346
欢笑剧场,rtp://239.121.4.64:8358
财富天下,rtp://239.121.4.181:9070
东方财经,rtp://239.121.4.71:8400
股评汇,rtp://239.121.4.98:8562
IPTV野外,rtp://239.121.4.182:9076
解密,rtp://239.121.4.183:9082
地理,rtp://239.121.4.82:8466
国学,rtp://239.121.4.81:8460
墨宝,rtp://239.121.4.86:8490
鉴赏,rtp://239.121.4.184:9088
全纪实,rtp://239.121.4.69:8388 
Knews24,rtp://239.121.4.134:8786
IPTV法治,rtp://239.121.4.185:9094
法治天地,rtp://239.121.4.70:8394
音乐现场,rtp://239.121.4.178:9052
魅力音乐,rtp://239.121.4.72:8406
IPTV相声小品,rtp://239.121.4.186:9100
戏曲,rtp://239.121.4.187:9106
七彩戏剧,rtp://239.121.4.73:8412
魅力时尚,rtp://239.121.4.85:8484
美妆,rtp://239.121.4.83:8472
美人,rtp://239.121.4.188:9112
极速汽车,rtp://239.121.4.77:8436
生活时尚,rtp://239.121.4.68:8382
旅游卫视,rtp://239.121.4.50:8274
爱生活,rtp://239.121.4.189:9118
金色频道,rtp://239.121.4.78:8442 
劲爆体育,rtp://239.121.4.65:8364
武术,rtp://239.121.4.191:9130
高网,rtp://239.121.4.192:9136
足球,rtp://239.121.4.193:9142
台球,rtp://239.121.4.194:9148
兵团卫视,rtp://239.121.4.195:9154
军事,rtp://239.121.4.196:9160
好学生,rtp://239.121.4.197:9166
早教,rtp://239.121.4.198:9172
中国教育4,rtp://239.121.4.199:9178
中国教育1,rtp://239.121.4.59:8328
中国教育2,rtp://239.121.4.60:8334
幸福彩,rtp://239.121.4.76:8430
中国气象,rtp://239.121.4.112:8654
导视,rtp://239.121.4.89:8508
CCTV1,rtp://239.121.4.1:7980
CCTV2,rtp://239.121.4.2:7986
CCTV7,rtp://239.121.4.7:7998
CCTV9,rtp://239.121.4.9:8028
CCTV10,rtp://239.121.4.10:8010 
CCTV12,rtp://239.121.4.12:8022
CCTV少儿,rtp://239.121.4.15:8034
湖北卫视,rtp://239.121.4.34:8178
东方卫视,rtp://239.121.4.27:8136
湖南卫视,rtp://239.121.4.33:8172
江苏卫视,rtp://239.121.4.28:8142
浙江卫视,rtp://239.121.4.29:8148
北京卫视,rtp://239.121.4.26:8130
广东卫视,rtp://239.121.4.46:8250
深圳卫视,rtp://239.121.4.54:8298
黑龙江卫视,rtp://239.121.4.44:8238
安徽卫视,rtp://239.121.4.30:8154
山东卫视,rtp://239.121.4.31:8160
辽宁卫视,rtp://239.121.4.42:8226
直播室201,rtp://239.121.4.127:8744
直播室202,rtp://239.121.4.128:8750
直播室203,rtp://239.121.4.129:8756
直播室204,rtp://239.121.4.130:8762
直播室205,rtp://239.121.4.131:8768
直播室206,rtp://239.121.4.132:8774
直播室207,rtp://239.121.4.133:8780
直播室208,rtp://239.121.4.146:8858
直播室209,rtp://239.121.4.147:8864
直播室210,rtp://239.121.4.148:8870
直播室211,rtp://239.121.4.149:8876
