CCTV1,rtp://239.253.254.77:8000
CCTV2,rtp://239.253.254.232:8000
CCTV3,rtp://239.253.254.191:8000
CCTV4,rtp://239.253.254.187:8000
CCTV5,rtp://239.253.254.192:8000
CCTV5+,rtp://239.253.254.80:8000
CCTV6,rtp://239.253.254.193:8000
CCTV7,rtp://239.253.254.233:8000
CCTV8,rtp://239.253.254.194:8000
CCTV9,rtp://239.253.254.79:8000
CCTV10,rtp://239.253.254.234:8000
CCTV11,rtp://239.253.254.169:8000
CCTV12,rtp://239.253.254.235:8000
CCTV13,rtp://239.253.254.175:8000
CCTV14,rtp://239.253.254.236:8000
CCTV15,rtp://239.253.254.170:8000
CCTV17,rtp://239.253.254.168:8000
CETV1,rtp://239.253.254.110:8000
CETV4,rtp://239.253.254.116:8000
CGTN,rtp://239.253.254.189:8000
CHC动作电影,rtp://239.253.254.153:8000
CHC高清电影,rtp://239.253.254.154:8000
CHC家庭影院,rtp://239.253.254.152:8000
安徽卫视,rtp://239.253.254.87:8000
北京卫视,rtp://239.253.254.85:8000
茶频道,rtp://239.253.254.143:8000
东方财经,rtp://239.253.254.94:8000
东方卫视,rtp://239.253.254.86:8000
东南卫视,rtp://239.253.254.105:8000
动漫秀场,rtp://239.253.254.115:8000
都市剧场,rtp://239.253.254.98:8000
法治天地,rtp://239.253.254.96:8000
甘肃卫视,rtp://239.253.254.74:8000
广东卫视,rtp://239.253.254.90:8000
广西卫视,rtp://239.253.254.197:8000
贵州卫视,rtp://239.253.254.113:8000
海南卫视,rtp://239.253.254.179:8000
海洋,rtp://239.253.254.67:8000
河北卫视,rtp://239.253.254.112:8000
河南卫视,rtp://239.253.254.190:8000
黑龙江卫视,rtp://239.253.254.93:8000
湖北卫视,rtp://239.253.254.88:8000
湖南卫视,rtp://239.253.254.82:8000
吉林卫视,rtp://239.253.254.173:8000
江苏卫视,rtp://239.253.254.83:8000
江西卫视,rtp://239.253.254.47:8000
金色学堂,rtp://239.253.254.101:8000
金鹰纪实,rtp://239.253.254.103:8000
金鹰卡通,rtp://239.253.254.117:8000
精彩电影,rtp://239.253.254.142:8000
卡酷少儿,rtp://239.253.254.66:8000
莱西,rtp://239.253.254.247:8000
崂山,rtp://239.253.254.242:8000
梨园,rtp://239.253.254.139:8000
辽宁卫视,rtp://239.253.254.92:8000
魅力足球,rtp://239.253.254.100:8000
平度,rtp://239.253.254.248:8000
青岛李沧,rtp://239.253.254.253:8000
青岛生活,rtp://239.253.254.244:8000
青岛综合,rtp://239.253.254.243:8000
青海卫视,rtp://239.253.254.195:8000
山东购物,rtp://239.253.254.104:8000
山东教育,rtp://239.253.254.59:8000
山东农科,rtp://239.253.254.24:8000
山东齐鲁,rtp://239.253.254.114:8000
山东少儿,rtp://239.253.254.25:8000
山东生活,rtp://239.253.254.151:8000
山东体育,rtp://239.253.254.22:8000
山东卫视,rtp://239.253.254.78:8000
山东文旅,rtp://239.253.254.160:8000
山东新闻,rtp://239.253.254.23:8000
山东综艺,rtp://239.253.254.159:8000
深圳卫视,rtp://239.253.254.91:8000
生活时尚,rtp://239.253.254.99:8000
四川卫视,rtp://239.253.254.180:8000
四海钓鱼,rtp://239.253.254.144:8000
天津卫视,rtp://239.253.254.89:8000
文物宝库,rtp://239.253.254.141:8000
武术世界,rtp://239.253.254.140:8000
云南卫视,rtp://239.253.254.196:8000
浙江卫视,rtp://239.253.254.84:8000
中国交通,rtp://239.253.254.177:8000
重庆卫视,rtp://239.253.254.38:8000
综合,rtp://239.253.254.246:8000
游戏风云,rtp://239.253.254.95:8000
