CCTV-1综合,udp//:239.1.1.7:8007
CCTV-2财经,udp//:239.1.1.8:8008
CCTV-3综艺,udp//:239.1.1.9:8009
CCTV-4中文国际,udp//:239.1.1.10:8010
CCTV-5体育,udp//:239.1.1.11:8011
CCTV-5体育,udp//:239.1.1.12:8012
CCTV-6电影,udp//:239.1.1.13:8013
CCTV-7国防军事,udp//:239.1.1.14:8014
CCTV-8电视剧,udp//:239.1.1.15:8015
CCTV-9纪录,udp//:239.1.1.16:8016
CCTV-10科教,udp//:239.1.1.17:8017
CCTV-11戏曲,udp//:239.1.1.18:8018
CCTV-12社会与法,udp//:239.1.1.19:8019
CCTV-13新闻,udp//:239.1.1.20:8020
CCTV-14少儿,udp//:239.1.1.21:8021
CCTV-15音乐,udp//:239.1.1.22:8022
CCTV-16奥林匹克,udp//:239.1.1.122:8122
CCTV-17农业农村,udp//:239.1.1.23:8023
CCTV-女性时尚,udp//:239.1.1.89:8089
CCTV-电视指南,udp//:239.1.1.90:8090
CCTV-央视文化精品,udp//:239.1.1.91:8091
CCTV-风云剧场,udp//:239.1.1.93:8093
CCTV-第一剧场,udp//:239.1.1.94:8094
CCTV-怀旧剧场,udp//:239.1.1.95:8095
CCTV-风云音乐,udp//:239.1.1.96:8096
CCTV-兵器科技,udp//:239.1.1.97:8097
CCTV-世界地理,udp//:239.1.1.99:8099
CCTV-央视台球,udp//:239.1.1.100:8100
CCTV-风云足球,udp//:239.1.1.101:8101
CCTV-高尔夫网球,udp//:239.1.1.102:8102
CETV-1综合教育,udp//:239.1.1.65:8065
CETV-2教育教学,udp//:239.1.1.66:8066
CETV-4职业教育,udp//:239.1.1.67:8067
凤凰中文,udp//:239.1.1.126:8126
凤凰资讯,udp//:239.1.1.127:8127
环球奇观,udp//:239.1.1.98:8098
CCTV-发现之旅,udp//:239.1.1.103:8103
CCTV-中学生频道,udp//:239.1.1.104:8104
湖南卫视,udp//:239.1.1.28:8028
四川卫视,udp//:239.1.1.29:8029
吉林卫视,udp//:239.1.1.30:8030
上海卫视,udp//:239.1.1.31:8031
湖北卫视,udp//:239.1.1.32:8032
东南卫视,udp//:239.1.1.33:8033
河南卫视,udp//:239.1.1.34:8034
江苏卫视,udp//:239.1.1.35:8035
重庆卫视,udp//:239.1.1.36:8036
黑龙江卫视,udp//:239.1.1.37:8037
浙江卫视,udp//:239.1.1.38:8038
深圳卫视,udp//:239.1.1.39:8039
广西卫视,udp//:239.1.1.40:8040
北京卫视,udp//:239.1.1.41:8041
辽宁卫视,udp//:239.1.1.42:8042
贵州卫视,udp//:239.1.1.43:8043
安徽卫视,udp//:239.1.1.44:8044
纪实人文,udp//:239.1.1.45:8045
天津卫视,udp//:239.1.1.46:8046
山东卫视,udp//:239.1.1.47:8047
河北卫视,udp//:239.1.1.48:8048
广东卫视,udp//:239.1.1.49:8049
江西卫视,udp//:239.1.1.52:8052
陕西卫视,udp//:239.1.1.50:8050
甘肃卫视,udp//:239.1.1.51:8051
青海卫视,udp//:239.1.1.53:8053
云南卫视,udp//:239.1.1.54:8054
海南卫视,udp//:239.1.1.55:8055
宁夏卫视,udp//:239.1.1.56:8056
西藏卫视,udp//:239.1.1.57:8057
兵团卫视,udp//:239.1.1.58:8058
新疆卫视,udp//:239.1.1.59:8059
内蒙古卫视,udp//:239.1.1.60:8060
金鹰卡通,udp//:239.1.1.61:8061
卡酷少儿,udp//:239.1.1.62:8062
金鹰纪实,udp//:239.1.1.63:8063
哈哈炫动,udp//:239.1.1.64:8064
嘉佳卡通,udp//:239.1.1.68:8068
大湾区卫视,udp//:239.1.1.69:8069
三沙卫视,udp//:239.1.1.70:8070
厦门卫视,udp//:239.1.1.71:8071
优漫卡通,udp//:239.1.1.72:8072
农林,udp//:239.1.1.73:8073
山东教育,udp//:239.1.1.74:8074
魅力足球,udp//:239.1.1.75:8075
生活时尚,udp//:239.1.1.76:8076
茶频道,udp//:239.1.1.77:8077
法制天地,udp//:239.1.1.79:8079
动漫秀场,udp//:239.1.1.80:8080
都市剧场,udp//:239.1.1.81:8081
金色学堂,udp//:239.1.1.82:8082
游戏风云,udp//:239.1.1.83:8083
乐游,udp//:239.1.1.84:8084
东方财经,udp//:239.1.1.85:8085
快乐垂钓,udp//:239.1.1.86:8086
CCTV-新影老故事,udp//:239.1.1.87:8087
CCTV-书画频道,udp//:239.1.1.88:8088
重庆汽摩,udp//:239.1.1.92:8092
百姓健康,udp//:239.1.1.105:8105
中华特产,udp//:239.1.1.106:8106
中国天气,udp//:239.1.1.107:8107
证券服务,udp//:239.1.1.108:8108
车迷,udp//:239.1.1.109:8109
生态环境,udp//:239.1.1.110:8110
四海钓鱼,udp//:239.1.1.111:8111
家庭理财,udp//:239.1.1.112:8112
财富天下,udp//:239.1.1.113:8113
优优宝贝,udp//:239.1.1.114:8114
优购物,udp//:239.1.1.115:8115
环球旅游,udp//:239.1.1.116:8116
山西卫视,udp//:239.1.1.1:8001
黄河电视台,udp//:239.1.1.2:8002
山西经济与科技,udp//:239.1.1.3:8003
山西影视,udp//:239.1.1.4:8004
山西社会与法治,udp//:239.1.1.5:8005
山西文体生活,udp//:239.1.1.6:8006
晋中综合,udp//:239.1.1.120:8120
晋中公共,udp//:239.1.1.121:8121
运城1台,udp//:239.1.1.123:8123
运城2台,udp//:239.1.1.124:8124
盐湖,udp//:239.1.1.125:8125
