广东卫视高清,rtp://239.77.0.84:5146
广东卫视超清,rtp://239.77.0.166:5146
广东珠江高清,rtp://239.77.0.1:5146
广东珠江超清,rtp://239.77.0.114:5146
广东新闻高清,rtp://239.77.0.173:5146
广东民生高清,rtp://239.77.0.225:5146
广东体育高清,rtp://239.77.0.112:5146
广东体育超清,rtp://239.77.0.168:5146
经济科教高清,rtp://239.77.0.85:5146
经济科教超清,rtp://239.77.0.167:5146
大湾区卫视高清,rtp://239.77.0.215:5146
广东影视高清,rtp://239.77.0.217:5146
南国都市 4K,rtp://239.253.43.99:5146
广东少儿高清,rtp://239.77.0.250:5146
嘉佳卡通高清,rtp://239.77.0.179:5146
CCTV-1高清,rtp://239.77.0.86:5146
CCTV-1超清,rtp://239.77.0.129:5146
CCTV-2高清,rtp://239.253.43.17:5146
CCTV-2高清测试,rtp://239.77.0.137:5146
CCTV-3高清,rtp://239.77.0.169:5146
CCTV-3超清,rtp://239.77.0.175:5146
CCTV-4高清,rtp://239.77.0.78:5146
CCTV-5高清,rtp://239.77.0.170:5146
CCTV-5超清,rtp://239.77.0.177:5146
CCTV-5+高清,rtp://239.77.1.147:5146
CCTV-6高清,rtp://239.77.0.171:5146
CCTV-6超清,rtp://239.77.0.178:5146
CCTV-7高清,rtp://239.77.1.167:5146
CCTV-7高清测试,rtp://239.77.0.138:5146
CCTV-8高清,rtp://239.77.0.172:5146
CCTV-8超清,rtp://239.77.0.181:5146
CCTV-9高清,rtp://239.77.1.168:5146
CCTV-9高清测试,rtp://239.77.0.135:5146
CCTV-10高清,rtp://239.77.1.169:5146
CCTV-10高清测试,rtp://239.77.0.134:5146
CCTV-11高清,rtp://239.77.1.238:5146
CCTV-12高清,rtp://239.77.1.170:5146
CCTV-12高清测试,rtp://239.77.0.136:5146
CCTV-13高清,rtp://239.253.43.196:5146
CCTV-14高清,rtp://239.77.1.171:5146
CCTV-14高清测试,rtp://239.77.0.133:5146
CCTV-15高清,rtp://239.77.1.239:5146
CCTV-16高清,rtp://239.77.1.76:5146
CCTV-16 4K,rtp://239.77.1.98:5146
CCTV-17高清,rtp://239.77.1.121:5146
CCTV-4K 4K,rtp://239.77.0.194:5146
CCTV-4K 4K50p,rtp://239.77.0.174:5146
CGTN,rtp://239.77.1.27:5146
CGTN英语高清,rtp://239.77.0.199:5146
CGTN西班牙语高清,rtp://239.77.0.221:5146
CGTN法语高清,rtp://239.77.0.228:5146
CGTN阿拉伯语高清,rtp://239.253.43.200:5146
CGTN俄语高清,rtp://239.253.43.201:5146
广东卫视,rtp://239.77.1.2:5146
广东珠江,rtp://239.77.1.94:5146
广东新闻,rtp://239.77.0.4:5146
广东民生,rtp://239.77.0.5:5146
广东体育,rtp://239.77.1.97:5146
广东国际,rtp://239.77.0.7:5146
经济科教,rtp://239.77.0.8:5146
大湾区卫视,rtp://239.77.1.12:5146
广东影视,rtp://239.77.0.11:5146
广东少儿,rtp://239.77.0.12:5146
嘉佳卡通,rtp://239.77.1.15:5146
南方购物,rtp://239.77.0.22:5146
岭南戏曲,rtp://239.77.0.16:5146
广东房产,rtp://239.77.0.14:5146
现代教育,rtp://239.77.0.18:5146
广东移动,rtp://239.77.0.20:5146
广东综艺 4K50p,rtp://239.77.1.236:5146
广东综艺 4K,rtp://239.77.1.237:5146
广东综艺(4k),rtp://239.77.0.244:5146
广东综艺4k,rtp://239.77.0.252:5146
广州综合,rtp://239.253.43.66:5146
广州综合高清,rtp://239.253.43.71:5146
广州新闻,rtp://239.253.43.67:5146
广州新闻高清,rtp://239.253.43.72:5146
广州影视,rtp://239.253.43.68:5146
广州影视高清,rtp://239.253.43.73:5146
广州法治,rtp://239.253.43.69:5146
广州法治高清,rtp://239.253.43.74:5146
广州竞赛,rtp://239.253.43.70:5146
广州竞赛高清,rtp://239.253.43.75:5146
广视课堂 小学一,rtp://239.253.43.76:5146
广视课堂 小学二,rtp://239.253.43.77:5146
广视课堂 小学三,rtp://239.253.43.78:5146
广视课堂 小学四,rtp://239.253.43.79:5146
广视课堂 小学五,rtp://239.253.43.80:5146
广视课堂 小学六,rtp://239.253.43.81:5146
广视课堂 初一,rtp://239.253.43.89:5146
广视课堂 初二,rtp://239.253.43.90:5146
广视课堂 初三,rtp://239.253.43.91:5146
广视课堂 高一,rtp://239.253.43.92:5146
广视课堂 高二,rtp://239.253.43.93:5146
深圳卫视,rtp://239.77.1.21:5146
深圳卫视高清,rtp://239.77.0.92:5146
深圳卫视超清,rtp://239.77.0.130:5146
深圳都市频道,rtp://239.77.1.34:5146
深圳都市频道高清,rtp://239.77.1.124:5146
深圳电视剧频道,rtp://239.77.1.7:5146
深圳电视剧频道高清,rtp://239.77.1.125:5146
深圳财经生活,rtp://239.77.1.22:5146
深圳财经生活高清,rtp://239.77.1.242:5146
深圳娱乐频道,rtp://239.77.1.36:5146
深圳娱乐频道高清,rtp://239.77.1.243:5146
深圳体育健康,rtp://239.77.1.8:5146
深圳体育健康高清,rtp://239.77.1.140:5146
深圳少儿频道,rtp://239.77.1.38:5146
深圳少儿频道高清,rtp://239.77.1.244:5146
深圳公共频道,rtp://239.77.1.9:5146
深圳公共频道高清,rtp://239.77.1.126:5146
深圳宝安频道,rtp://239.77.1.206:5146
深圳宝安频道高清,rtp://239.77.1.67:5146
深圳宝安第一课,rtp://239.77.1.225:5146
