电信,#genre#
GXTV1-卫视,rtp://239.81.0.2:4056
GXTV2-综艺,rtp://239.81.0.3:4056
GXTV3-都市,rtp://239.81.0.4:4056
GXTV6-资讯,rtp://239.81.0.5:4056
GXTV5-影视,rtp://239.81.0.7:4056
广西国际,rtp://239.81.0.8:4056
GXTV4-乐思购,rtp://239.81.0.9:4056
精彩交通,rtp://239.81.0.10:4056
垂钓,rtp://239.81.0.12:4056
CCTV 1,rtp://239.81.0.13:4056
CCTV 2,rtp://239.81.0.14:4056
IPTV谍战剧场,rtp://239.81.0.15:4056
CCTV 4,rtp://239.81.0.16:4056
IPTV相声小品,rtp://239.81.0.17:4056
IPTV野外,rtp://239.81.0.18:4056
CCTV 7,rtp://239.81.0.19:4056
IPTV法治,rtp://239.81.0.20:4056
CCTV 9,rtp://239.81.0.21:4056
CCTV 10,rtp://239.81.0.22:4056
CCTV 11,rtp://239.81.0.23:4056
CCTV 12,rtp://239.81.0.24:4056
CCTV 14,rtp://239.81.0.25:4056
CCTV 13,rtp://239.81.0.26:4056
CCTV 15,rtp://239.81.0.27:4056
CGTN,rtp://239.81.0.28:4056
SBN,rtp://239.81.0.29:4056
BTV,rtp://239.81.0.30:4056
ZJTV,rtp://239.81.0.31:4056
南方TV,rtp://239.81.0.32:4056
HLJTV,rtp://239.81.0.33:4056
JSWS,rtp://239.81.0.34:4056
LNTV,rtp://239.81.0.35:4056
广东1,rtp://239.81.0.36:4056
Ahtv Service,rtp://239.81.0.37:4056
JXTV1,rtp://239.81.0.38:4056
山东卫视,rtp://239.81.0.39:4056
hnstv,rtp://239.81.0.40:4056
湖北TV,rtp://239.81.0.41:4056
四川,rtp://239.81.0.43:4056
河南 TV,rtp://239.81.0.44:4056
云南-1,rtp://239.81.0.45:4056
XJTV-1,rtp://239.81.0.46:4056
CQTV,rtp://239.81.0.47:4056
海南 TV,rtp://239.81.0.48:4056
山西 TV,rtp://239.81.0.49:4056
天津 TV,rtp://239.81.0.50:4056
河北_TV,rtp://239.81.0.51:4056
CETV1,rtp://239.81.0.52:4056
青海,rtp://239.81.0.53:4056
NMTV-H,rtp://239.81.0.54:4056
XZTV-1,rtp://239.81.0.55:4056
GZTV,rtp://239.81.0.56:4056
SZTV,rtp://239.81.0.57:4056
JLTV,rtp://239.81.0.58:4056
东南卫视,rtp://239.81.0.59:4056
宁夏 TV,rtp://239.81.0.60:4056
金鹰卡通,rtp://239.81.0.61:4056
BTV KAKU,rtp://239.81.0.62:4056
中国气象,rtp://239.81.0.63:4056
嘉佳卡通,rtp://239.81.0.64:4056
IPTV6+,rtp://239.81.0.65:4056
IPTV3+,rtp://239.81.0.66:4056
IPTV8+,rtp://239.81.0.67:4056
动漫秀场2.5-2-3,rtp://239.81.0.68:4056
SS10,rtp://239.81.0.69:4056
游戏风云-2.5-3-2,rtp://239.81.0.72:4056
sitv-时尚生活2.5--2-1,rtp://239.81.0.75:4056
全纪实2.5-2-4,rtp://239.81.0.78:4056
法治天地2.5-2-5,rtp://239.81.0.79:4056
金色频道2.5--2-1,rtp://239.81.0.80:4056
都市剧场2.5--2-2,rtp://239.81.0.81:4056
IPTV少儿动画,rtp://239.81.0.82:4056
IPTV魅力时尚,rtp://239.81.0.83:4056
IPTV经典电影,rtp://239.81.0.84:4056
IPTV热播剧场,rtp://239.81.0.85:4056
收视指南,rtp://239.81.0.86:4056
SXTVS,rtp://239.81.0.89:4056
JYJSHD,rtp://239.81.0.91:4056
CETV1HD,rtp://239.81.0.92:4056
SDJY,rtp://239.81.0.93:4056
河北-HD,rtp://239.81.0.94:4056
贵州 HD,rtp://239.81.0.95:4056
CCTV4-HD,rtp://239.81.0.96:4056
足球,rtp://239.81.0.97:4056
ACE-3 环球购物,rtp://239.81.0.98:4056
电影[1920*1080],rtp://239.81.0.100:4056
CCTV-5+-HD,rtp://239.81.0.101:4056
CCTV-1-HD,rtp://239.81.0.102:4056
深圳HD,rtp://239.81.0.103:4056
广东HD,rtp://239.81.0.104:4056
HLJTV HD,rtp://239.81.0.105:4056
JSWS-HD,rtp://239.81.0.106:4056
GXTV-卫视HD,rtp://239.81.0.107:4056
ZJWS-HD,rtp://239.81.0.108:4056
北京HD,rtp://239.81.0.109:4056
HNSTVHD,rtp://239.81.0.110:4056
SBN-HD,rtp://239.81.0.111:4056
湖北HD,rtp://239.81.0.112:4056
天津 HDTV,rtp://239.81.0.113:4056
山东卫视HD,rtp://239.81.0.114:4056
CCTV2-HD,rtp://239.81.0.115:4056
CCTV7(GFJS)HD,rtp://239.81.0.116:4056
CCTV9-HD,rtp://239.81.0.117:4056
CCTV10-HD,rtp://239.81.0.118:4056
CCTV12-HD,rtp://239.81.0.119:4056
CCTV14-HD,rtp://239.81.0.120:4056
爱上4K,rtp://239.81.0.123:4056
悦美生活 HD,rtp://239.81.0.124:4056
南宁新闻综合,rtp://239.81.0.126:4056
南宁都市生活,rtp://239.81.0.127:4056
南宁影视娱乐,rtp://239.81.0.128:4056
南宁公共,rtp://239.81.0.129:4056
四川HD,rtp://239.81.0.130:4056
央广购物,rtp://239.81.0.131:4056
优购物,rtp://239.81.0.132:4056
IPTV5+ HD,rtp://239.81.0.133:4056
柳州新闻综合,rtp://239.81.0.134:4056
桂林新闻综合,rtp://239.81.0.135:4056
北海新闻综合,rtp://239.81.0.136:4056
贺州综合,rtp://239.81.0.137:4056
玉林新闻综合,rtp://239.81.0.138:4056
南宁都市生活HD,rtp://239.81.0.139:4056
南宁影视娱乐HD,rtp://239.81.0.140:4056
南宁公共HD,rtp://239.81.0.141:4056
CCTV16-HD,rtp://239.81.0.142:4056
吉林-HD,rtp://239.81.0.143:4056
金鹰卡通HD,rtp://239.81.0.148:4056
百色综合,rtp://239.81.0.149:4056
百色综合HD,rtp://239.81.0.150:4056
防城港新闻综合HD,rtp://239.81.0.151:4056
精彩影视 HD,rtp://239.81.0.152:4056
求索记录HD_to_IDC,rtp://239.81.0.153:4056
北海新闻综合HD,rtp://239.81.0.154:4056
贺州综合HD,rtp://239.81.0.163:4056
钦州综合HD,rtp://239.81.0.164:4056
钦州综合,rtp://239.81.0.165:4056
影视[1920*1080],rtp://239.81.0.166:4056
河池新闻综合,rtp://239.81.0.167:4056
河池新闻综合HD,rtp://239.81.0.168:4056
贵港新闻综合,rtp://239.81.0.169:4056
来宾综合,rtp://239.81.0.170:4056
崇左综合,rtp://239.81.0.171:4056
贵港新闻综合HD,rtp://239.81.0.172:4056
来宾综合HD,rtp://239.81.0.173:4056
桂林新闻综合HD,rtp://239.81.0.174:4056
柳州新闻综合HD,rtp://239.81.0.175:4056
梧州新闻综合HD,rtp://239.81.0.176:4056
玉林新闻综合HD,rtp://239.81.0.177:4056
百视通,rtp://239.81.0.178:4056
百视通,rtp://239.81.0.179:4056
百视通,rtp://239.81.0.180:4056
百视通,rtp://239.81.0.181:4056
百视通,rtp://239.81.0.182:4056
百视通,rtp://239.81.0.183:4056
百视通,rtp://239.81.0.184:4056
百视通,rtp://239.81.0.185:4056
百视通,rtp://239.81.0.186:4056
CETV4-HD,rtp://239.81.0.188:4056
百视通,rtp://239.81.0.201:4056
百视通,rtp://239.81.0.202:4056
百视通,rtp://239.81.0.203:4056
江西-HD,rtp://239.81.0.204:4056
CCTV13-HD,rtp://239.81.0.206:4056
甘肃 HD,rtp://239.81.0.207:4056
广西IPTV HD,rtp://239.81.0.208:4056
IPTV导视,rtp://239.81.0.209:4056
辽宁HD,rtp://239.81.0.210:4056
安徽-HD,rtp://239.81.0.211:4056
XMSD,rtp://239.81.0.212:4056
BTTV,rtp://239.81.0.213:4056
GXTV-综艺HD,rtp://239.81.0.214:4056
东南卫视HD,rtp://239.81.0.215:4056
CCTV 17,rtp://239.81.0.227:4056
CCTV17-HD,rtp://239.81.0.228:4056
CCTV11-HD,rtp://239.81.0.229:4056
CCTV15-HD,rtp://239.81.0.230:4056
CCTV-3-HD,rtp://239.81.0.231:4056
CCTV-5-HD,rtp://239.81.0.232:4056
CCTV-6-HD,rtp://239.81.0.233:4056
CCTV-8-HD,rtp://239.81.0.234:4056
新动漫,rtp://239.81.0.235:4056
乒羽,rtp://239.81.0.236:4056
CHC家庭影院HD,rtp://239.81.0.238:4056
CHC动作电影HD,rtp://239.81.0.239:4056
CHC高清电影HD,rtp://239.81.0.240:4056
南宁新闻综合HD,rtp://239.81.0.241:4056
三沙,rtp://239.81.0.242:4056
梧州新闻综合,rtp://239.81.0.244:4056
CETV2SD,rtp://239.81.0.245:4056
CETV4SD,rtp://239.81.0.246:4056
GXTV-都市HD,rtp://239.81.0.247:4056
GXTV-新闻HD,rtp://239.81.0.248:4056
GXTV-影视HD,rtp://239.81.0.250:4056
爱生活,rtp://239.81.0.253:4056
