电信,#genre#
CCTV01,rtp://238.125.0.1:5140
CCTV02,rtp://238.125.0.2:5140
CCTV04,rtp://238.125.0.3:5140
CCTV07,rtp://238.125.0.4:5140
2.5M-CGTN,rtp://238.125.0.5:5140
CCTV10,rtp://238.125.0.6:5140
CCTV11,rtp://238.125.0.7:5140
CCTV12,rtp://238.125.0.8:5140
CCTV13,rtp://238.125.0.9:5140
CCTV01高清,rtp://238.125.1.1:5140
深圳高清,rtp://238.125.1.2:5140
北京高清,rtp://238.125.1.3:5140
湖南高清,rtp://238.125.1.4:5140
东方高清,rtp://238.125.1.5:5140
江苏高清,rtp://238.125.1.6:5140
浙江高清,rtp://238.125.1.7:5140
黑龙江高清,rtp://238.125.1.8:5140
安徽高清,rtp://238.125.1.9:5140
新疆教育电视台,rtp://238.125.2.8:5140
霍城-2 HD(维语),rtp://238.125.3.6:5140
霍城-1 HD,rtp://238.125.3.7:5140
特克斯2,rtp://238.125.3.9:5140
CCTV01,rtp://238.125.4.1:5140
CCTV02,rtp://238.125.4.2:5140
CCTV04,rtp://238.125.4.3:5140
CCTV07,rtp://238.125.4.4:5140
2.5M-CGTN,rtp://238.125.4.5:5140
CCTV10,rtp://238.125.4.6:5140
CCTV11,rtp://238.125.4.7:5140
CCTV12,rtp://238.125.4.8:5140
CCTV13,rtp://238.125.4.9:5140
CCTV01高清,rtp://238.125.5.1:5140
深圳高清,rtp://238.125.5.2:5140
北京高清,rtp://238.125.5.3:5140
湖南高清,rtp://238.125.5.4:5140
东方高清,rtp://238.125.5.5:5140
江苏高清,rtp://238.125.5.6:5140
浙江高清,rtp://238.125.5.7:5140
黑龙江高清,rtp://238.125.5.8:5140
安徽高清,rtp://238.125.5.9:5140
CGTN记录,rtp://238.125.6.1:5140
CGTN俄语,rtp://238.125.6.2:5140
CGTN记录,rtp://238.125.6.3:5140
CGTN西语,rtp://238.125.6.4:5140
新疆教育电视台,rtp://238.125.6.8:5140
霍城-2 HD(维语),rtp://238.125.7.6:5140
霍城-1 HD,rtp://238.125.7.7:5140
CCTV14,rtp://238.125.0.10:5140
CCTV15,rtp://238.125.0.11:5140
XJTV01,rtp://238.125.0.12:5140
