CCTV-1,rtp://239.254.200.45:8008
CCTV-2,rtp://239.254.200.158:6000
CCTV-3,rtp://239.254.200.13:6000
CCTV-4,rtp://239.254.200.190:6307
CCTV-5,rtp://239.254.200.14:6000
CCTV-6,rtp://239.254.200.15:6000
CCTV-7,rtp://239.254.200.159:6000
CCTV-8,rtp://239.254.200.16:6000
CCTV-9,rtp://239.254.200.59:8112
CCTV-10,rtp://239.254.200.160:6000
CCTV-11,rtp://239.254.201.123:8120
CCTV-12,rtp://239.254.200.161:6000
CCTV-13,rtp://239.254.200.9:8264
CCTV-14,rtp://239.254.200.162:6000
CCTV-15,rtp://239.254.201.124:8136
CCTV-奥林匹克4K,rtp://239.254.201.150:6345
CCTV-17,rtp://239.254.201.120:8144
CCTV-5+高清,rtp://239.254.200.46:8004
CGTN,rtp://239.254.200.12:8056
CCTV-3高清,rtp://239.254.201.152:7205
CCTV-5高清,rtp://239.254.201.153:7206
CCTV-6高清,rtp://239.254.201.154:7207
CCTV-8高清,rtp://239.254.201.155:7208
CCTV-16[4K],rtp://239.254.201.150:6345
CCTV-奥林匹克 4K,rtp://239.254.200.7:6346
河北卫视,rtp://239.254.200.174:6000
河北经济生活,rtp://239.254.200.18:6000
河北都市,rtp://239.254.200.19:6000
河北影视剧,rtp://239.254.200.20:6000
河北少儿科教,rtp://239.254.200.21:6000
河北公共,rtp://239.254.200.22:6000
河北农民,rtp://239.254.200.23:6000
睛彩河北,rtp://239.254.200.27:6000
三佳购物,rtp://239.254.200.143:6000
优购物,rtp://239.254.201.78:6283
快乐购,rtp://239.254.201.79:7196
家有购物,rtp://239.254.201.80:7192
聚鲨环球精选,rtp://239.254.201.81:7191
家家购物,rtp://239.254.201.144:7262
央广购物,rtp://239.254.201.202:7268
河北杂技频道,rtp://239.254.201.139:7203
石家庄新闻综合,rtp://239.254.200.157:6000
石家庄娱乐,rtp://239.254.200.29:6000
石家庄生活,rtp://239.254.200.30:6000
石家庄都市,rtp://239.254.200.31:6000
承德新闻综合,rtp://239.254.200.32:6000
承德公共,rtp://239.254.200.33:6000
张家口新闻综合,rtp://239.254.200.35:6000
张家口公共,rtp://239.254.200.36:6000
秦皇岛新闻综合,rtp://239.254.200.39:6000
秦皇岛公共,rtp://239.254.200.40:6000
秦皇岛影视,rtp://239.254.200.41:6000
唐山新闻综合,rtp://239.254.200.166:6000
唐山生活服务,rtp://239.254.200.167:6000
唐山影视,rtp://239.254.200.168:6000
唐山公共,rtp://239.254.200.169:6000
廊坊新闻,rtp://239.254.200.183:6000
廊坊公共,rtp://239.254.200.184:6000
沧州新闻综合,rtp://239.254.200.42:6000
沧州公共,rtp://239.254.200.43:6000
沧州影视娱乐,rtp://239.254.200.44:6000
保定新闻综合,rtp://239.254.200.144:6000
保定公共频道,rtp://239.254.200.145:6000
保定生活健康,rtp://239.254.200.146:6000
衡水新闻综合,rtp://239.254.200.147:6000
