浙江卫视高清,rtp://233.50.200.231:5140
浙江钱江高清,rtp://233.50.201.132:5140
浙江生活高清,rtp://233.50.201.133:5140
浙江教育高清,rtp://233.50.201.134:5140
浙江民生高清,rtp://233.50.201.136:5140
浙江新闻高清,rtp://233.50.201.137:5140
浙江少儿高清,rtp://233.50.201.138:5140
浙江纪录高清,rtp://233.50.202.25:5140
杭州综合高清,rtp://233.50.201.173:5140
杭州明珠高清,rtp://233.50.201.174:5140
杭州生活高清,rtp://233.50.201.175:5140
杭州影视高清,rtp://233.50.201.176:5140
杭州青少高清,rtp://233.50.201.177:5140
杭州导视高清,rtp://233.50.201.182:5140
宁波综合高清,rtp://233.50.201.168:5140
宁波生活高清,rtp://233.50.201.178:5140
宁波文体高清,rtp://233.50.201.179:5140
宁波影视高清,rtp://233.50.201.180:5140
宁波少儿高清,rtp://233.50.201.181:5140
温州综合高清,rtp://233.50.201.87:5140
绍兴综合高清,rtp://233.50.201.156:5140
衢州综合高清,rtp://233.50.202.11:5140
衢州公共高清,rtp://233.50.202.12:5140
丽水新闻综合,rtp://233.50.201.162:5140
中国蓝直播高清,rtp://233.50.201.108:5140
浙江之声广播,rtp://233.50.201.79:5140
浙江新闻广播,rtp://233.50.201.80:5140
经济频道广播,rtp://233.50.201.81:5140
音乐调频广播,rtp://233.50.201.82:5140
交通之声广播,rtp://233.50.201.83:5140
旅游之声广播,rtp://233.50.201.84:5140
城市之声广播,rtp://233.50.201.85:5140
民生资讯广播,rtp://233.50.201.86:5140
CCTV-1高清,rtp://233.50.201.222:5140
CCTV-2高清,rtp://233.50.201.119:5140
CCTV-3高清,rtp://233.50.201.196:5140
CCTV-4高清,rtp://233.50.200.101:5140
CCTV-5高清,rtp://233.50.201.197:5140
CCTV-5+高清,rtp://233.50.201.220:5140
CCTV-6高清,rtp://233.50.201.198:5140
CCTV-7高清,rtp://233.50.201.120:5140
CCTV-8高清,rtp://233.50.201.199:5140
CCTV-9高清,rtp://233.50.201.121:5140
CCTV-10高清,rtp://233.50.201.122:5140
CCTV-11高清,rtp://233.50.201.11:5140
CCTV-12高清,rtp://233.50.201.123:5140
CCTV-13高清,rtp://233.50.201.246:5140
CCTV-14高清,rtp://233.50.201.124:5140
CCTV-16高清,rtp://233.50.201.192:5140
CCTV-17高清,rtp://233.50.200.113:5140
CCTV-16 4K,rtp://233.50.201.63:5140
凤凰中文高清,rtp://233.50.200.191:5140
凤凰资讯高清,rtp://233.50.200.192:5140
天津卫视高清,rtp://233.50.201.104:5140
河北卫视高清,rtp://233.50.201.140:5140
安徽卫视高清,rtp://233.50.201.113:5140
重庆卫视高清,rtp://233.50.201.143:5140
云南卫视高清,rtp://233.50.200.115:5140
四川卫视高清,rtp://233.50.201.139:5140
江西卫视高清,rtp://233.50.201.145:5140
江苏卫视高清,rtp://233.50.201.106:5140
东方卫视高清,rtp://233.50.201.125:5140
湖北卫视高清,rtp://233.50.201.114:5140
广东卫视高清,rtp://233.50.200.187:5140
北京卫视高清,rtp://233.50.201.107:5140
深圳卫视高清,rtp://233.50.201.101:5140
黑龙江卫视高清,rtp://233.50.201.115:5140
湖南卫视高清,rtp://233.50.201.103:5140
山东卫视高清,rtp://233.50.201.105:5140
辽宁卫视高清,rtp://233.50.201.141:5140
贵州卫视高清,rtp://233.50.201.142:5140
河南卫视高清,rtp://233.50.201.144:5140
东南卫视高清,rtp://233.50.201.146:5140
都市剧场高清,rtp://233.50.201.190:5140
欢笑剧场高清,rtp://233.50.201.189:5140
动漫秀场高清,rtp://233.50.201.184:5140
游戏风云高清,rtp://233.50.201.183:5140
生活时尚高清,rtp://233.50.201.187:5140
法治天地高清,rtp://233.50.201.191:5140
金色学堂高清,rtp://233.50.201.186:5140
快乐垂钓高清,rtp://233.50.201.109:5140
茶频道台高清,rtp://233.50.201.188:5140
第一财经高清,rtp://233.50.200.125:5140
乐游纪实高清,rtp://233.50.201.185:5140
教育四套高清,rtp://233.50.200.162:5140
新视觉台高清,rtp://233.50.201.244:5140
优优宝贝高清,rtp://233.50.202.24:5140
晴彩竞技高清,rtp://233.50.202.26:5140
晴彩篮球高清,rtp://233.50.202.27:5140
晴彩羽毛球高清,rtp://233.50.202.28:5140
晴彩广场舞高清,rtp://233.50.202.29:5140
轮播频道高清,rtp://233.50.201.117:5140
高清直播,rtp://233.50.200.223:5140
浙江卫视,rtp://233.50.201.100:5140
浙江钱江,rtp://233.50.201.132:5140
浙江经济,rtp://233.50.201.133:5140
浙江教育,rtp://233.50.201.134:5140
浙江新闻,rtp://233.50.201.137:5140
浙江民生,rtp://233.50.201.136:5140
浙江少儿,rtp://233.50.201.138:5140
之江纪录,rtp://233.50.202.25:5140
杭州综合,rtp://233.50.201.173:5140
杭州明珠,rtp://233.50.201.174:5140
杭州生活,rtp://233.50.201.175:5140
杭州影视,rtp://233.50.201.176:5140
杭州青少,rtp://233.50.201.177:5140
杭州导视,rtp://233.50.201.182:5140
宁波综合,rtp://233.50.201.168:5140
宁波生活,rtp://233.50.201.178:5140
宁波文体,rtp://233.50.201.179:5140
宁波影视,rtp://233.50.201.180:5140
宁波少儿,rtp://233.50.201.181:5140
温州新闻,rtp://233.50.201.87:5140
绍兴新闻,rtp://233.50.201.156:5140
衢州新闻,rtp://233.50.201.155:5140
衢州公共,rtp://233.50.202.12:5140
台州新闻,rtp://233.50.201.157:5140
湖州新闻,rtp://233.50.201.158:5140
金华新闻,rtp://233.50.201.161:5140
丽水新闻,rtp://233.50.201.162:5140
嘉兴新闻,rtp://233.50.201.163:5140
桐乡新闻,rtp://233.50.201.169:5140
凤凰中文,rtp://233.50.200.191:5140
凤凰资讯,rtp://233.50.200.192:5140
CCTV-1,rtp://233.50.201.99:5140
CCTV-2,rtp://233.50.201.2:5140
CCTV-3,rtp://233.50.201.16:5140
CCTV-4,rtp://233.50.201.4:5140
CCTV-5,rtp://233.50.201.17:5140
CCTV-5+,rtp://233.50.201.220:5140
CCTV-6,rtp://233.50.201.18:5140
CCTV-7,rtp://233.50.201.7:5140
CCTV-8,rtp://233.50.201.19:5140
CCTV-9,rtp://233.50.201.121:5140
CCTV-10,rtp://233.50.201.10:5140
CCTV-11,rtp://233.50.201.11:5140
CCTV-12,rtp://233.50.201.12:5140
CCTV-13,rtp://233.50.201.13:5140
CCTV-14,rtp://233.50.201.14:5140
CCTV-15,rtp://233.50.201.15:5140
CCTV-16,rtp://233.50.201.192:5140
CCTV-17,rtp://233.50.201.35:5140
CETV-4,rtp://233.50.200.162:5140
东方卫视,rtp://233.50.201.68:5140
北京卫视,rtp://233.50.201.40:5140
江苏卫视,rtp://233.50.201.41:5140
湖南卫视,rtp://233.50.201.52:5140
深圳卫视,rtp://233.50.201.45:5140
天津卫视,rtp://233.50.201.47:5140
河北卫视,rtp://233.50.201.50:5140
安徽卫视,rtp://233.50.201.62:5140
重庆卫视,rtp://233.50.201.66:5140
四川卫视,rtp://233.50.201.61:5140
江西卫视,rtp://233.50.201.53:5140
广东卫视,rtp://233.50.201.56:5140
山东卫视,rtp://233.50.201.64:5140
辽宁卫视,rtp://233.50.201.60:5140
贵州卫视,rtp://233.50.201.69:5140
河南卫视,rtp://233.50.201.44:5140
东南卫视,rtp://233.50.201.58:5140
湖北卫视,rtp://233.50.201.43:5140
黑龙江卫视,rtp://233.50.201.42:5140
中国蓝直播,rtp://233.50.201.193:5140
CGTN西班牙,rtp://233.50.201.36:5140
CGTN法语,rtp://233.50.201.37:5140
CGTN阿拉伯,rtp://233.50.201.38:5140
CGTN俄语,rtp://233.50.201.39:5140
云南卫视,rtp://233.50.201.46:5140
吉林卫视,rtp://233.50.201.48:5140
广西卫视,rtp://233.50.201.49:5140
山西卫视,rtp://233.50.201.51:5140
海南卫视,rtp://233.50.201.55:5140
宁夏卫视,rtp://233.50.201.57:5140
陕西卫视,rtp://233.50.201.59:5140
青海卫视,rtp://233.50.201.65:5140
西藏卫视,rtp://233.50.201.70:5140
兵团卫视,rtp://233.50.201.72:5140
金鹰卡通,rtp://233.50.201.73:5140
哈哈炫动,rtp://233.50.201.74:5140
少儿,rtp://233.50.201.20:5140
CETV1,rtp://233.50.201.75:5140
