移动,#genre#
CCTV1HD,rtp://228.0.0.1:6108
CCTV2HD,rtp://228.0.0.2:6108
CCTV3HD,rtp://228.0.0.156:7156
CCTV4HD,rtp://228.0.0.143:7143
CCTV5HD,rtp://228.0.0.112:6108
CCTV6HD,rtp://228.0.0.157:7157
CCTV7HD,rtp://228.0.0.7:6108
CCTV8HD,rtp://228.0.0.158:7158
CCTV9HD,rtp://228.0.0.9:6108
CCTV10HD,rtp://228.0.0.10:6108
CCTV11HD,rtp://228.0.0.242:6108
CCTV12HD,rtp://228.0.0.12:6108
CCTV13HD,rtp://228.0.0.202:6108
CCTV14HD,rtp://228.0.0.14:6108
CCTV15,rtp://228.0.0.15:6108
CCTVNEWS,rtp://228.0.0.16:6108
CCTV17HD,rtp://228.0.0.161:7161
CCTV5＋HD,rtp://228.0.0.17:6108
CCTV16HD,rtp://228.0.0.249:6108
湖北卫视HD,rtp://228.0.0.60:6108
湖北经视HD,rtp://228.0.0.125:6108
湖北综合HD,rtp://228.0.0.126:6108
湖北垄上HD,rtp://228.0.0.127:6108
湖北公共HD,rtp://228.0.0.124:6108
湖北影视HD,rtp://228.0.0.205:6108
湖北教育HD,rtp://228.0.0.206:6108
湖北生活HD,rtp://228.0.0.204:6108
美嘉购物HD,rtp://228.0.0.207:6108
武汉新闻HD,rtp://228.0.0.162:7162
武汉电视剧HD,rtp://228.0.0.163:7163
武汉生活HD,rtp://228.0.0.89:6108
武汉经济,rtp://228.0.0.131:5131
武汉文体HD,rtp://228.0.0.164:7164
武汉外语,rtp://228.0.0.133:5133
武汉少儿,rtp://228.0.0.134:5134
广通购物,rtp://228.0.0.135:5135
武汉教育,rtp://228.0.0.136:5136
湖北卫视,rtp://228.0.0.232:6108
湖南卫视HD,rtp://228.0.0.61:6108
浙江卫视HD,rtp://228.0.0.65:6108
江苏卫视HD,rtp://228.0.0.64:6108
东方卫视HD,rtp://228.0.0.62:6108
北京卫视HD,rtp://228.0.0.63:6108
广东卫视HD,rtp://228.0.0.66:6108
深圳卫视HD,rtp://228.0.0.67:6108
黑龙江卫视HD,rtp://228.0.0.68:6108
天津卫视HD,rtp://228.0.0.120:6108
山东卫视HD,rtp://228.0.0.121:6108
安徽卫视HD,rtp://228.0.0.122:6108
辽宁卫视HD,rtp://228.0.0.123:6108
东南卫视HD,rtp://228.0.0.144:7144
江西卫视HD,rtp://228.0.0.147:7147
重庆卫视HD,rtp://228.0.0.159:7159
贵州卫视HD,rtp://228.0.0.160:7160
宁夏卫视,rtp://228.0.0.30:6108
广西卫视,rtp://228.0.0.37:6108
海南卫视HD,rtp://228.0.0.165:7165
河南卫视HD,rtp://228.0.0.230:6108
四川卫视HD,rtp://228.0.0.231:6108
吉林卫视,rtp://228.0.0.45:6108
山西卫视,rtp://228.0.0.47:6108
云南卫视,rtp://228.0.0.48:6108
西藏卫视,rtp://228.0.0.51:6108
内蒙古卫视,rtp://228.0.0.52:6108
新疆卫视,rtp://228.0.0.53:6108
青海卫视,rtp://228.0.0.54:6108
河北卫视HD,rtp://228.0.0.168:7168
陕西卫视,rtp://228.0.0.56:6108
甘肃卫视,rtp://228.0.0.57:6108
卡酷动画,rtp://228.0.0.58:6108
金鹰卡通,rtp://228.0.0.59:6108
金鹰纪实HD,rtp://228.0.0.145:7145
中国教育-1HD,rtp://228.0.0.146:7146
三沙卫视,rtp://228.0.0.174:7174
中国教育4,rtp://228.0.0.177:7177
CCTV1,rtp://228.0.0.167:7167
CCTV2,rtp://228.0.0.213:6108
CCTV3,rtp://228.0.0.214:6108
CCTV4,rtp://228.0.0.215:6108
CCTV5,rtp://228.0.0.5:6108
CCTV6,rtp://228.0.0.217:6108
CCTV7,rtp://228.0.0.218:6108
CCTV8,rtp://228.0.0.219:6108
CCTV9,rtp://228.0.0.220:6108
CCTV10,rtp://228.0.0.221:6108
CCTV11,rtp://228.0.0.222:6108
CCTV12,rtp://228.0.0.223:6108
CCTV13,rtp://228.0.0.13:6108
黄冈综合,rtp://228.0.0.224:6108
十堰新闻,rtp://228.0.0.199:7199
十堰公共,rtp://228.0.0.200:7200
十堰经济,rtp://228.0.0.201:7201
宜昌综合HD,rtp://228.0.0.225:6108
宜昌旅游HD,rtp://228.0.0.226:6108
宜昌公共HD,rtp://228.0.0.227:6108
恩施综合,rtp://228.0.0.228:6108
恩施公共,rtp://228.0.0.229:6108
CETV2,rtp://228.0.0.198:7198
体育赛事HD,rtp://228.0.0.175:7175
环球奇观,rtp://228.0.0.73:6108
国学频道,rtp://228.0.0.75:6108
游戏竞技,rtp://228.0.0.78:6108
靓妆,rtp://228.0.0.86:6108
财富天下,rtp://228.0.0.88:6108
房县新闻,rtp://228.0.0.31:6108
快乐垂钓,rtp://228.0.0.203:6108
CHC家庭影院,rtp://228.0.0.211:6108
CHC动作电影,rtp://228.0.0.212:6108
CHC高清电影,rtp://228.0.0.233:6108
茶频道,rtp://228.0.0.234:6108
第一剧场,rtp://228.0.0.235:6108
风云足球,rtp://228.0.0.236:6108
怀旧剧场,rtp://228.0.0.237:6108
老故事,rtp://228.0.0.238:6108
网络棋牌,rtp://228.0.0.239:6108
新动漫,rtp://228.0.0.240:6108
先锋乒羽,rtp://228.0.0.241:6108
