湖南卫视FHD,rtp://239.76.252.115:9000
湖南经视FHD,rtp://239.76.245.116:1234
湖南都市FHD,rtp://239.76.245.117:1234
湖南电视剧FHD,rtp://239.76.245.118:1234
湖南电影FHD,rtp://239.76.245.119:1234
湖南娱乐FHD,rtp://239.76.245.121:1234
湖南国际FHD,rtp://239.76.245.124:1234
湖南公共FHD,rtp://239.76.245.123:1234
CCTV1HD,rtp://239.76.253.151:9000
CCTV2HD,rtp://239.76.253.152:9000
CCTV3HD,rtp://239.76.253.153:9000
CCTV4HD,rtp://239.76.253.154:9000
CCTV5HD,rtp://239.76.253.155:9000
CCTV5+hd,rtp://239.76.253.168:9000
CCTV6HD,rtp://239.76.253.156:9000
CCTV7HD,rtp://239.76.253.157:9000
CCTV8HD,rtp://239.76.253.158:9000
CCTV9HD,rtp://239.76.253.159:9000
CCTV10HD,rtp://239.76.253.160:9000
CCTV11HD,rtp://239.76.245.251:1234
CCTV12HD,rtp://239.76.253.162:9000
CCTV13HD,rtp://239.76.253.93:9000
CCTV14HD,rtp://239.76.253.164:9000
CCTV15HD,rtp://239.76.245.252:1234
CCTV16HD,rtp://239.76.253.98:9000
CCTV17HD,rtp://239.76.245.238:1234
CCTV16 4K,rtp://239.76.253.224:9000
CCTV16 4k,rtp://239.76.246.224:1234
CCTV16 4kHDR,rtp://239.76.246.230:1234
CCTV4欧洲HD,rtp://239.76.253.95:9000
CCTV4美洲HD,rtp://239.76.253.96:9000
CGTN英语HD,rtp://239.76.245.67:1234
CGTN记录HD,rtp://239.76.245.66:1234
CGTN俄语,rtp://239.76.246.86:1234
CGTN法语,rtp://239.76.246.87:1234
CGTN西班牙语,rtp://239.76.246.88:1234
体育,rtp://239.76.253.136:9000
金鹰卡通FHD,rtp://239.76.245.120:1234
金鹰纪实FHD,rtp://239.76.245.122:1234
快乐垂钓FHD,rtp://239.76.245.127:1234
湖南教育HD,rtp://239.76.252.233:9000
茶频道HD,rtp://239.76.245.239:1234
广东卫视HD,rtp://239.76.252.189:9000
东南卫视HD,rtp://239.76.252.190:9000
