贵州卫视,rtp://238.255.2.1:5999
贵州卫视2,rtp://238.255.2.2:5999
贵州卫视3,rtp://238.255.2.3:5999
贵州卫视4,rtp://238.255.2.4:5999
贵州卫视5,rtp://238.255.2.5:5999
贵州卫视6,rtp://238.255.2.6:5999
贵州卫视7,rtp://238.255.2.9:5999
CCTV1,rtp://238.255.2.91:5999
CCTV2,rtp://238.255.2.11:5999
CCTV3,rtp://238.255.2.133:5999
CCTV4,rtp://238.255.2.92:5999
CCTV4欧洲频道,rtp://238.255.2.213:5999
CCTV4美洲频道,rtp://238.255.2.214:5999
CCTV5,rtp://238.255.2.134:5999
CCTV5+,rtp://238.255.2.185:5999
CCTV6,rtp://238.255.2.135:5999
CCTV7,rtp://238.255.2.12:5999
CCTV8,rtp://238.255.2.136:5999
CCTV9,rtp://238.255.2.155:5999
CCTV10,rtp://238.255.2.13:5999
CCTV11,rtp://238.255.2.14:5999
CCTV12,rtp://238.255.2.15:5999
CCTV13,rtp://238.255.2.16:5999
CCTV14,rtp://238.255.2.17:5999
CCTV15,rtp://238.255.2.18:5999
CCTV16奥林匹克,rtp://238.255.2.219:5999
CCTV17,rtp://238.255.2.137:5999
CCTV兵器科技,rtp://238.255.2.34:5999
CCTV第一剧场,rtp://238.255.2.25:5999
CCTV风云剧场,rtp://238.255.2.28:5999
CCTV风云音乐,rtp://238.255.2.24:5999
CCTV风云足球,rtp://238.255.2.29:5999
CCTV高尔夫网球,rtp://238.255.2.223:5999
CCTV怀旧剧场,rtp://238.255.2.33:5999
CCTV女性时尚,rtp://238.255.2.27:5999
CCTV世界地理,rtp://238.255.2.26:5999
CCTV天下足球,rtp://238.255.2.134:5999
CCTV央视台球,rtp://238.255.2.224:5999
CCTV中视购物,rtp://238.255.2.44:5999
CCTV中视文化精品,rtp://238.255.2.32:5999
CETV1,rtp://238.255.2.105:5999
CETV2,rtp://238.255.2.221:5999
CETV4,rtp://238.255.2.222:5999
CGTN,rtp://238.255.2.207:5999
CGTN阿拉伯语频道,rtp://238.255.2.211:5999
CGTN俄语频道,rtp://238.255.2.210:5999
CGTN法语频道,rtp://238.255.2.208:5999
CGTN西班牙语频道,rtp://238.255.2.209:5999
CGTN英语纪录片频道,rtp://238.255.2.212:5999
CGTV法语频道,rtp://238.255.2.83:5999
CGTV纪录片,rtp://238.255.2.172:5999
BRTV纪实科教,rtp://238.255.2.107:5999
BRTV卡酷少儿,rtp://238.255.2.80:5999
北京卫视,rtp://238.255.2.81:5999
东方卫视,rtp://238.255.2.98:5999
东南卫视,rtp://238.255.2.103:5999
广东大湾区卫视,rtp://238.255.2.60:5999
广东卫视,rtp://238.255.2.59:5999
广西卫视,rtp://238.255.2.64:5999
海南卫视,rtp://238.255.2.58:5999
河北卫视,rtp://238.255.2.77:5999
河南卫视,rtp://238.255.2.74:5999
黑龙江卫视,rtp://238.255.2.96:5999
湖北卫视,rtp://238.255.2.102:5999
江苏卫视,rtp://238.255.2.104:5999
江西卫视,rtp://238.255.2.94:5999
内蒙古卫视,rtp://238.255.2.53:5999
宁夏卫视,rtp://238.255.2.75:5999
青海卫视,rtp://238.255.2.51:5999
三沙卫视,rtp://238.255.2.203:5999
厦门卫视,rtp://238.255.2.205:5999
山东教育,rtp://238.255.2.79:5999
山东卫视,rtp://238.255.2.97:5999
山西卫视,rtp://238.255.2.71:5999
陕西卫视,rtp://238.255.2.81:5999
深圳卫视,rtp://238.255.2.61:5999
四川卫视,rtp://238.255.2.76:5999
天津卫视,rtp://238.255.2.99:5999
辽宁卫视,rtp://238.255.2.69:5999
甘肃卫视,rtp://238.255.2.73:5999
湖南卫视,rtp://238.255.2.93:5999
吉林卫视,rtp://238.255.2.95:5999
兵团卫视,rtp://238.255.2.67:5999
新疆卫视,rtp://238.255.2.66:5999
云南卫视,rtp://238.255.2.63:5999
