电信,#genre#
CCTV1,rtp://239.33.5.2:22580
CCTV1,rtp://239.33.5.2:22580
CCTV2,rtp://239.33.5.3:22590
CCTV2,rtp://239.33.5.3:22590
CCTV3,rtp://239.33.5.4:22600
CCTV3,rtp://239.33.5.4:22600
CCTV4,rtp://239.33.5.40:22960
CCTV4,rtp://239.33.5.40:22960
CCTV5,rtp://239.33.5.5:22610
CCTV5,rtp://239.33.5.5:22610
CCTV6,rtp://239.33.5.7:22630
CCTV6,rtp://239.33.5.7:22630
CCTV7,rtp://239.33.5.73:23290
CCTV7,rtp://239.33.5.73:23290
CCTV8,rtp://239.33.5.9:22650
CCTV8,rtp://239.33.5.9:22650
CCTV9,rtp://239.33.5.10:22660
CCTV9,rtp://239.33.5.10:22660
CCTV10,rtp://239.33.5.11:22670
CCTV10,rtp://239.33.5.11:22670
CCTV11,rtp://239.33.4.11:20110
CCTV11,rtp://239.33.4.11:20110
CCTV12,rtp://239.33.5.12:22680
CCTV12,rtp://239.33.5.12:22680
CCTV13,rtp://239.33.4.13:20130
CCTV13,rtp://239.33.4.13:20130
CCTV14,rtp://239.33.5.13:22690
CCTV14,rtp://239.33.5.13:22690
CCTV15,rtp://239.33.4.15:20150
CCTV15,rtp://239.33.4.15:20150
CCTV16,rtp://239.33.4.211:22110
CCTV16,rtp://239.33.4.211:22110
CCTV17,rtp://239.33.5.8:22640
CCTV17,rtp://239.33.5.8:22640
CCTV5+,rtp://239.33.5.6:22620
CCTV5+,rtp://239.33.5.6:22620
辽宁卫视,rtp://239.33.5.1:22570
辽宁卫视,rtp://239.33.5.1:22570
辽宁影视,rtp://239.33.4.238:22380
辽宁影视rtp://239.33.4.238:22380
辽宁生活,rtp://239.33.5.201:24570
辽宁生活,rtp://239.33.5.201:24570
辽宁北方,rtp://239.33.5.202:24580
辽宁北方,rtp://239.33.5.202:24580
辽宁都市,rtp://239.33.4.236:22360
辽宁都市,rtp://239.33.4.236:22360
辽宁经济,rtp://239.33.4.121:21210
辽宁经济,rtp://239.33.4.121:21210
辽宁体育,rtp://239.33.4.237:22370
辽宁体育,rtp://239.33.4.237:22370
辽宁公共,rtp://239.33.4.122:21220
辽宁公共,rtp://239.33.4.122:21220
辽宁移动,rtp://239.33.4.235:22350
辽宁移动,rtp://239.33.4.235:22350
辽宁青少,rtp://239.33.4.233:22330
辽宁青少,rtp://239.33.4.233:22330
沈阳新闻综合,rtp://239.33.4.123:21230
沈阳新闻综合,rtp://239.33.4.123:21230
辽宁青少,rtp://239.33.4.233:22330
北京卫视,rtp://239.33.5.21:22770
北京卫视,rtp://239.33.5.21:22770
天津卫视,rtp://239.33.5.22:22780
天津卫视,rtp://239.33.5.22:22780
东方卫视,rtp://239.33.5.24:22800
东方卫视,rtp://239.33.5.24:22800
浙江卫视,rtp://239.33.5.51:23070
浙江卫视,rtp://239.33.5.51:23070
江苏卫视,rtp://239.33.5.52:23080
江苏卫视,rtp://239.33.5.52:23080
安徽卫视,rtp://239.33.5.16:22720
安徽卫视,rtp://239.33.5.16:22720
湖南卫视,rtp://239.33.5.15:22710
湖南卫视,rtp://239.33.5.15:22710
贵州卫视,rtp://239.33.5.71:23270
贵州卫视,rtp://239.33.5.71:23270
山东卫视,rtp://239.33.5.18:22740
山东卫视,rtp://239.33.5.18:22740
广东卫视,rtp://239.33.5.19:22750
广东卫视,rtp://239.33.5.19:22750
广西卫视,rtp://239.33.4.215:22150
广西卫视,rtp://239.33.4.215:22150
湖北卫视,rtp://239.33.5.17:22730
湖北卫视,rtp://239.33.5.17:22730
江西卫视,rtp://239.33.4.216:22160
江西卫视,rtp://239.33.4.216:22160
河北卫视,rtp://239.33.4.217:22170
河北卫视,rtp://239.33.4.217:22170
河南卫视,rtp://239.33.4.218:22180
河南卫视,rtp://239.33.4.218:22180
四川卫视,rtp://239.33.5.42:22980
四川卫视,rtp://239.33.5.42:22980
重庆卫视,rtp://239.33.5.41:22970
重庆卫视,rtp://239.33.5.41:22970
东南卫视,rtp://239.33.5.55:23110
东南卫视,rtp://239.33.5.55:23110
海南卫视,rtp://239.33.5.74:23300
