辽宁卫视,rtp://232.0.0.126:1234
辽宁都市,rtp://232.0.0.154:1234
辽宁影视剧,rtp://232.0.0.25:1234
辽宁体育,rtp://232.0.0.164:1234
辽宁生活,rtp://232.0.0.150:1234
辽宁教育青少,rtp://232.0.0.241:1234
辽宁北方,rtp://232.0.0.151:1234
辽宁宜佳购物,rtp://232.0.0.30:1234
辽宁公共,rtp://232.0.0.168:1234
辽宁经济,rtp://232.0.0.156:1234
CCTV-1综合,rtp://232.0.0.27:1234
CCTV-2财经,rtp://232.0.0.135:1234
CCTV-3综艺,rtp://232.0.0.170:1234
CCTV-4国际,rtp://232.0.0.201:1234
CCTV-5体育,rtp://232.0.0.171:1234
CCTV-6电影,rtp://232.0.0.172:1234
CCTV-7国防军事,rtp://232.0.0.136:1234
CCTV-8电视剧,rtp://232.0.0.173:1234
CCTV-9纪录,rtp://232.0.0.137:1234
CCTV-10科教,rtp://232.0.0.138:1234
CCTV-11戏曲,rtp://232.0.0.178:1234
CCTV-12社会与法,rtp://232.0.0.139:1234
CCTV-13新闻,rtp://232.0.0.15:1234
CCTV-14少儿,rtp://232.0.0.140:1234
CCTV-15音乐,rtp://232.0.0.179:1234
CCTV-16奥林匹克,rtp://232.0.0.182:1234
CCTV-17高清,rtp://232.0.0.230:1234
CCTV5+体育赛事,rtp://232.0.0.93:1234
CGTN-英语新闻,rtp://232.0.0.188:1234
CGTN-纪录(国际版),rtp://232.0.0.198:1234
CGTN-俄语国际,rtp://232.0.0.28:1234
CGTN-西班牙语国际,rtp://232.0.0.6:1234
CGTN-阿拉伯语国际,rtp://232.0.0.43:1234
CGTN-法语国际,rtp://232.0.0.8:1234
移动电视,rtp://232.0.0.165:1234
家有购物,rtp://232.0.0.225:1234
央广购物,rtp://232.0.0.240:1234
聚鲨环球精选,rtp://232.0.0.207:1234
沈阳新闻综合,rtp://232.0.0.206:1234
CCTV中视购物,rtp://232.0.0.202:1234
北京卫视,rtp://232.0.0.117:1234
天津卫视,rtp://232.0.0.125:1234
上海东方卫视,rtp://232.0.0.122:1234
浙江卫视,rtp://232.0.0.123:1234
江苏卫视,rtp://232.0.0.116:1234
安徽卫视,rtp://232.0.0.141:1234
湖南卫视,rtp://232.0.0.115:1234
贵州卫视,rtp://232.0.0.181:1234
山东卫视,rtp://232.0.0.131:1234
山西卫视,rtp://232.0.0.86:1234
广东卫视,rtp://232.0.0.130:1234
广西卫视,rtp://232.0.0.76:1234
湖北卫视,rtp://232.0.0.124:1234
江西卫视,rtp://232.0.0.82:1234
河北卫视,rtp://232.0.0.49:1234
河南卫视,rtp://232.0.0.80:1234
四川卫视,rtp://232.0.0.185:1234
重庆卫视,rtp://232.0.0.186:1234
福建东南卫视,rtp://232.0.0.74:1234
海南卫视,rtp://232.0.0.26:1234
青海卫视,rtp://232.0.0.101:1234
云南卫视,rtp://232.0.0.40:1234
陕西卫视,rtp://232.0.0.35:1234
内蒙古卫视,rtp://232.0.0.111:1234
宁夏卫视,rtp://232.0.0.34:1234
吉林卫视,rtp://232.0.0.180:1234
新疆卫视,rtp://232.0.0.18:1234
甘肃卫视,rtp://232.0.0.50:1234
西藏卫视,rtp://232.0.0.114:1234
黑龙江卫视,rtp://232.0.0.95:1234
