重庆卫视,rtp://235.254.198.34:1412
CQTV影视,rtp://235.254.196.209:1108
CQTV都市,rtp://235.254.196.210:1112
CQTV时尚,rtp://235.254.196.211:1116
CQTV娱乐,rtp://235.254.196.212:1120
CQTV公共农村,rtp://235.254.196.213:1124
CQTV少儿,rtp://235.254.196.214:1128
CQTV科教,rtp://235.254.196.215:1132
CQTV生活,rtp://235.254.196.216:1136
CQTV汽摩,rtp://235.254.196.221:1156
睛彩重庆,rtp://235.254.196.218:1146
CCTV1高清,rtp://235.254.198.51:1480
CCTV2高清,rtp://235.254.198.52:1484
CCTV3高清,rtp://235.254.198.53:1488
CCTV4高清,rtp://235.254.198.183:7980
CCTV5高清,rtp://235.254.198.54:1492
CCTV5+高清,rtp://235.254.198.122:1764
CCTV6高清,rtp://235.254.198.55:1496
CCTV7高清,rtp://235.254.198.56:1500
CCTV8高清,rtp://235.254.198.57:1504
CCTV9高清,rtp://235.254.198.58:1508
CCTV10高清,rtp://235.254.198.59:1512
CCTV11,rtp://235.254.198.7:1304
CCTV12高清,rtp://235.254.198.60:1516
CCTV13,rtp://235.254.198.9:1312
CCTV15,rtp://235.254.198.11:1320
CQTV新闻超高清,rtp://235.254.196.199:7980
CQTV手持电视,rtp://235.254.196.219:1148
CQTV移动,rtp://235.254.196.217:1140
家有购物,rtp://235.254.198.150:1882
CCTV少儿高清,rtp://235.254.198.61:1520
时尚购物,rtp://235.254.196.220:1154
家家购物,rtp://235.254.198.177:7980
环球购物,rtp://235.254.198.176:7980
优购物,rtp://235.254.198.178:7980
风尚购物,rtp://235.254.198.179:7980
江苏卫视超高清,rtp://235.254.198.64:1532
浙江卫视超高清,rtp://235.254.198.63:1528
东方卫视超高清,rtp://235.254.198.73:1568
深圳卫视高清,rtp://235.254.198.71:1560
北京卫视超高清,rtp://235.254.198.66:1540
山东卫视高清,rtp://235.254.198.69:1552
天津卫视超高清,rtp://235.254.198.67:1544
贵州卫视超高清,rtp://235.254.198.185:7980
四川卫视超高清,rtp://235.254.198.175:7980
云南卫视,rtp://235.254.198.25:1376
广西卫视,rtp://235.254.198.38:1428
黑龙江卫视超高清,rtp://235.254.198.70:1556
安徽卫视超高清,rtp://235.254.198.65:1536
山西卫视,rtp://235.254.198.41:1440
江西卫视,rtp://235.254.198.29:1392
湖北卫视高清,rtp://235.254.198.72:1564
旅游卫视,rtp://235.254.198.44:1452
陕西卫视,rtp://235.254.198.40:1436
东南卫视超高清,rtp://235.254.198.129:7980
吉林卫视,rtp://235.254.198.39:1432
辽宁卫视高清,rtp://235.254.198.68:1548
内蒙古卫视,rtp://235.254.198.42:1444
湖南卫视超高清,rtp://235.254.198.62:1524
广东卫视高清,rtp://235.254.196.204:1088
河南卫视,rtp://235.254.198.26:1380
河北卫视高清,rtp://235.254.198.184:7980
宁夏卫视,rtp://235.254.198.45:1456
甘肃卫视,rtp://235.254.198.48:1468
少儿动画,rtp://235.254.198.116:1740
卡酷动画,rtp://235.254.198.49:1472
金鹰卡通,rtp://235.254.198.50:1476
嘉佳卡通,rtp://235.254.198.110:1716
魅力时尚,rtp://235.254.198.115:1736
青海卫视,rtp://235.254.198.43:1448
新疆卫视,rtp://235.254.198.47:1464
西藏卫视,rtp://235.254.198.46:1460
纪实高清,rtp://235.254.198.121:1760
IPTV3,rtp://235.254.198.13:1328
IPTV5,rtp://235.254.198.14:1332
IPTV6,rtp://235.254.198.15:1336
IPTV8,rtp://235.254.198.16:1340
CGTN,rtp://235.254.198.127:1784
熊猫频道,rtp://235.254.198.133:1808
收视指南,rtp://235.254.198.112:1724
财富天下,rtp://235.254.198.108:1708
IPTV谍战剧场,rtp://235.254.198.117:1744
IPTV相声小品,rtp://235.254.198.118:1748
IPTV野外,rtp://235.254.198.119:1752
IPTV法治,rtp://235.254.198.120:1756
热播剧场,rtp://235.254.198.113:1728
经典电影,rtp://235.254.198.114:1732
城市剧场,rtp://235.254.198.74:1572
军旅剧场,rtp://235.254.198.75:1576
古装剧场,rtp://235.254.198.76:1580
音乐现场,rtp://235.254.198.77:1584
地理,rtp://235.254.198.78:1588
美妆,rtp://235.254.198.79:1592
美人,rtp://235.254.198.80:1596
精选,rtp://235.254.198.81:1600
解密,rtp://235.254.198.82:1604
军事,rtp://235.254.198.83:1608
国学,rtp://235.254.198.84:1612
戏曲,rtp://235.254.198.85:1616
早教,rtp://235.254.198.86:1620
动画,rtp://235.254.198.87:1624
精彩导视,rtp://235.254.196.101:1162
好学生,rtp://235.254.198.88:1628
鉴赏,rtp://235.254.198.89:1632
