青海卫视,rtp//:239.120.1.113:8346
青海经视,rtp//:239.120.2.161:5141
青海都市,rtp//:239.120.2.156:5141
青海都市,rtp//:239.120.1.41:8220
青海经视,rtp//:239.120.1.42:8226
CCTV-1综合,rtp//:239.120.2.220:5141
CCTV-2财经,rtp//:239.120.2.43:5141
CCTV-3综艺,rtp//:239.120.2.32:5141
CCTV-4中文国际,rtp//:239.120.1.159:9012
CCTV-5+体育赛事,rtp//:239.120.1.245:9428
CCTV-5体育,rtp//:239.120.2.34:5141
CCTV-6电影,rtp//:239.120.2.38:5141
CCTV-7国防军事,rtp//:239.120.2.39:5141
CCTV-8电视剧,rtp//:239.120.2.40:5141
CCTV-9纪录,rtp//:239.120.2.91:5141
CCTV-10科教,rtp//:239.120.1.250:9448
CCTV-11戏曲,rtp//:239.120.1.163:9036
CCTV-12社会与法,rtp//:239.120.2.101:5141
CCTV-13新闻,rtp//:239.120.1.165:9048
CCTV-14少儿,rtp//:239.120.2.103:5141
CCTV-15音乐,rtp//:239.120.1.167:9060
CCTV-13新闻,rtp//:239.120.1.161:9024
CETV-2教育教学,rtp//:239.120.2.68:5141
CETV-4职业教育,rtp//:239.120.2.71:5141
安多1,rtp//:239.120.1.40:8214
安徽卫视,rtp//:239.120.1.226:9348
北京卫视,rtp//:239.120.2.186:5141
兵团卫视,rtp//:239.120.2.35:5141
第一财经,rtp//:239.120.1.73:8412
东方财经,rtp//:239.120.1.55:8304
东方卫视,rtp//:239.120.2.184:5141
东南卫视,rtp//:239.120.1.232:9372
动漫秀场,rtp//:239.120.1.219:9328
都市剧场,rtp//:239.120.1.221:9336
法制天地,rtp//:239.120.2.76:5141
甘肃卫视,rtp//:239.120.1.118:8700
广东卫视,rtp//:239.120.2.181:5141
广西卫视,rtp//:239.120.1.155:8988
贵州卫视,rtp//:239.120.1.142:8910
海南州,rtp//:239.120.1.247:9436
河北卫视,rtp//:239.120.1.212:9300
河南卫视,rtp//:239.120.1.148:8946
黑龙江卫视,rtp//:239.120.2.183:5141
湖北卫视,rtp//:239.120.2.182:5141
湖南卫视,rtp//:239.120.2.173:5141
欢笑剧场,rtp//:239.120.1.216:9316
吉林卫视,rtp//:239.120.1.151:8964
家庭理财,rtp//:239.120.2.153:5141
嘉佳卡通,rtp//:239.120.2.45:5141
江苏卫视,rtp//:239.120.2.221:5141
江西卫视,rtp//:239.120.2.194:5141
金鹰卡通,rtp//:239.120.2.60:5141
卡酷少儿,rtp//:239.120.2.62:5141
乐游,rtp//:239.120.1.217:9320
辽宁卫视,rtp//:239.120.2.189:5141
海南lyws,rtp//:239.120.1.141:8904
内蒙古卫视,rtp//:239.120.2.44:5141
宁夏卫视,rtp//:239.120.2.25:5141
七彩戏剧,rtp//:239.120.1.57:8316
山东卫视,rtp//:239.120.2.219:5141
山西卫视,rtp//:239.120.2.22:5141
陕西卫视,rtp//:239.120.2.20:5141
深圳卫视,rtp//:239.120.1.137:8880
生活时尚,rtp//:239.120.1.220:9332
四川卫视,rtp//:239.120.1.147:8940
陶瓷,rtp//:239.120.1.225:9346
天津卫视,rtp//:239.120.2.196:5141
西藏卫视,rtp//:239.120.2.24:5141
西宁生活,rtp//:239.120.1.248:9440
西宁新闻,rtp//:239.120.1.249:9444
新疆卫视,rtp//:239.120.2.29:5141
炫动卡通,rtp//:239.120.1.140:8898
游戏风云,rtp//:239.120.1.215:9312
云南卫视,rtp//:239.120.2.28:5141
CETV早期教育,rtp//:239.120.1.34:9534
浙江卫视,rtp//:239.120.2.199:5141
CETV-1综合教育,rtp//:239.120.1.133:8856
中国天气,rtp//:239.120.2.226:5141
重庆卫视,rtp//:239.120.1.146:8934
CCTV-16奥林匹克,rtp//:239.120.2.105:5141
CCTV-17农业农村,rtp//:239.120.2.106:5141
海东综合,rtp//:239.120.2.198:5141
金鹰纪实,rtp//:239.120.2.46:5141
BRTV纪实科教,rtp//:239.120.2.231:5141
纪实人文,rtp//:239.120.2.72:5141
欢笑剧场4K,rtp//:239.120.2.233:5141
天元围棋,rtp//:239.120.2.227:5141
金色学堂,rtp//:239.120.2.84:5141
九画面,rtp//:239.120.1.131:8268
海北,rtp//:239.120.2.234:5141
果洛,rtp//:239.120.1.92:8218
黄南,rtp//:239.120.1.100:9128
青海油田,rtp//:239.120.1.144:8416
矿区生活,rtp//:239.120.1.145:8420
CCTV-4中文国际,rtp//:239.120.2.33:5141
CCTV-10科教,rtp//:239.120.2.92:5141
CCTV-11戏曲,rtp//:239.120.2.100:5141
CCTV-13新闻,rtp//:239.120.2.102:5141
CCTV-15音乐,rtp//:239.120.2.104:5141
CCTV-5+体育赛事,rtp//:239.120.2.59:5141
CGTN,rtp//:239.120.2.126:5141
安多1,rtp//:239.120.2.163:5141
西宁生活服务HD,rtp//:239.120.2.171:5141
西宁新闻综合HD,rtp//:239.120.2.172:5141
四川卫视,rtp//:239.120.2.2:5141
重庆卫视,rtp//:239.120.2.185:5141
