🇨🇳 4K & 8K频道,#genre#
北京IPTV4K,http://1.203.184.49:8888/rtp/225.1.8.211:8002
CCTV16,http://111.193.226.5:4022/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://222.129.35.177:8686/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://114.249.213.41:8012/rtp/239.3.1.184:8001$1920x1080
CCTV16,http://106.59.3.147:55555/rtp/239.200.200.193:8776$1920x1080
CCTV16,http://139.170.104.119:8000/rtp/239.120.2.105:5141$1920x1080
CCTV16,http://180.108.135.122:8888/rtp/239.49.8.31:8000$1920x1080
CCTV16,http://106.111.74.38:10001/rtp/239.49.8.31:8000$1920x1080
CCTV16,http://219.145.19.114:5554/rtp/239.111.205.133:5140$1920x1080
CCTV16,http://58.212.37.166:8888/rtp/239.49.8.31:8000$1920x1080
CCTV16,http://139.170.104.119:8000/rtp/239.120.1.252:9554$1920x1080
CCTV16,http://1.83.124.62:8888/rtp/239.111.205.133:5140$1920x1080
CCTV16,http://enlen.vip:4022/rtp/239.200.200.193:8776$1920x1080
CCTV16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://121.19.134.125:808/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://202.100.46.58:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
百事通4K,http://222.71.139.118:8001/rtp/239.45.1.42:5140$3840x2160
百事通4K,http://101.83.74.36:8686/rtp/239.45.1.42:5140$3840x2160
百事通4K,http://222.71.139.114:8001/rtp/239.45.1.42:5140$3840x2160
百事通4K,http://116.226.14.61:4022/rtp/239.45.1.42:5140$3840x2160
百事通4K,http://222.65.133.225:10000/rtp/239.45.1.42:5140$3840x2160
百事通4K,http://139.196.151.191:2051/rtp/239.45.1.42:5140
百事通4K,http://58.41.27.144:18888/rtp/239.45.1.42:5140
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Love Nrture 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
🇨🇳 港.澳.财经.美食,#genre#
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://www.lebaobei/rtp/239.255.30.70:8231
凤凰资讯,http://219.145.19.114:5554/rtp/239.111.205.82:5140
凤凰资讯,http://61.185.200.196:10000/rtp/239.111.205.82:5140
凤凰资讯,http://1.83.124.62:8888/rtp/239.111.205.82:5140
凤凰资讯,http://219.145.19.73:5554/rtp/239.111.205.82:5140
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://www.lebaobei/rtp/239.255.30.50:8231
凤凰中文,http://118.254.201.41:8888/rtp/239.76.246.7:1234
凤凰中文,http://118.254.159.120:8888/rtp/239.76.246.7:1234
凤凰中文,http://124.230.56.165:55555/rtp/239.76.246.7:1234
凤凰中文,http://118.254.156.252:8888/rtp/239.76.246.7:1234
凤凰中文,http://118.254.201.45:8888/rtp/239.76.246.7:1234
凤凰中文,http://dms.yryyj/rtp/239.76.246.7:1234
凤凰中文,http://118.254.156.78:8888/rtp/239.76.246.7:1234
凤凰中文,http://219.145.19.114:5554/rtp/239.111.205.78:5140
凤凰中文,http://61.185.200.196:10000/rtp/239.111.205.78:5140
凤凰中文,http://1.83.124.62:8888/rtp/239.111.205.78:5140
凤凰中文,http://219.145.19.73:5554/rtp/239.111.205.78:5140
凤凰香港,http://www.lebaobei/rtp/239.255.30.123:8231
