广东,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
广东卫视,https://www.gdtv.cn/tvChannelDetail/43
广东珠江,https://www.gdtv.cn/tvChannelDetail/44
广东新闻,https://www.gdtv.cn/tvChannelDetail/45
广东民生,https://www.gdtv.cn/tvChannelDetail/48
广东体育,https://www.gdtv.cn/tvChannelDetail/47
大湾区卫视,https://www.gdtv.cn/tvChannelDetail/51
大湾区卫视海外,https://www.gdtv.cn/tvChannelDetail/46
经济科教,https://www.gdtv.cn/tvChannelDetail/49
广东影视,https://www.gdtv.cn/tvChannelDetail/53
4k超高清,https://www.gdtv.cn/tvChannelDetail/16
广东少儿,https://www.gdtv.cn/tvChannelDetail/54
嘉佳卡通,https://www.gdtv.cn/tvChannelDetail/66
南方购物,https://www.gdtv.cn/tvChannelDetail/42
岭南戏曲,https://www.gdtv.cn/tvChannelDetail/15
现代教育,https://www.gdtv.cn/tvChannelDetail/13
广东移动,https://www.gdtv.cn/tvChannelDetail/74
荔枝台,https://www.gdtv.cn/tvChannelDetail/100
纪录片,https://www.gdtv.cn/tvChannelDetail/94
grtn健康频道,https://www.gdtv.cn/tvChannelDetail/99
grtn文化频道,https://www.gdtv.cn/tvChannelDetail/75
grtn生活频道,https://www.gdtv.cn/tvChannelDetail/102
grtn教育频道,https://www.gdtv.cn/tvChannelDetail/104

深圳,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
深圳卫视,https://www.sztv.com.cn/dianshi.shtml?id=7867
都市频道,https://www.sztv.com.cn/dianshi.shtml?id=7868
电视剧频道,https://www.sztv.com.cn/dianshi.shtml?id=7880
公共频道,https://www.sztv.com.cn/dianshi.shtml?id=7874
财经频道,https://www.sztv.com.cn/dianshi.shtml?id=7871
娱乐生活频道,https://www.sztv.com.cn/dianshi.shtml?id=7872
少儿频道,https://www.sztv.com.cn/dianshi.shtml?id=7881
移动电视,https://www.sztv.com.cn/dianshi.shtml?id=7869
宜和购物频道,https://www.sztv.com.cn/dianshi.shtml?id=7878
国际频道,https://www.sztv.com.cn/dianshi.shtml?id=7944
