📺电信IPTV,#genre#
茂名综合,http://192.168.3.1:2222/rtp/239.77.0.206:5146$内网组播
茂名综合,http://113.111.16.104:8888/udp/239.77.0.206:5146$订阅源
茂名综合,http://113.90.246.252:4000/udp/239.77.0.206:5146$订阅源
茂名综合,http://14.112.86.101:4022/udp/239.77.0.206:5146$订阅源
茂名公共,http://192.168.3.1:2222/rtp/239.77.0.207:5146$内网组播
茂名公共,http://113.111.16.104:8888/udp/239.77.0.207:5146$订阅源
茂名公共,http://113.90.246.252:4000/udp/239.77.0.207:5146$订阅源
茂名公共,http://14.112.86.101:4022/udp/239.77.0.207:5146$订阅源
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$测试1
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$测试2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3$测试3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3$测试4
翡翠台,http://163.177.122.28:9901/tsfile/live/1006_1.m3u8$订阅源
翡翠台,http://163.177.122.29:9901/tsfile/live/1006_1.m3u8$订阅源
翡翠台,http://171.38.42.252:8181/tsfile/live/1049_1.m3u8$订阅源
广东民生,http://192.168.3.1:2222/rtp/239.77.0.225:5146$内网组播
广东民生,http://113.111.16.104:8888/udp/239.77.0.225:5146$订阅源
广东民生,http://113.90.246.252:4000/udp/239.77.0.225:5146$订阅源
广东民生,http://58.252.12.164:8000/udp/239.77.0.225:5146$订阅源
广东珠江,http://192.168.3.1:2222/rtp/239.77.0.1:5146$内网组播
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/index.m3u8$订阅源-IPv6
广东珠江,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000003000000033/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000033&IASHttpSessionId=OTT19019320240419154124000281&yang-1989$订阅源-IPv6
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8$订阅源-IPv6
广东珠江,http://163.177.122.28:9901/tsfile/live/1008_1.m3u8$订阅源
广东珠江,http://113.111.16.104:8888/udp/239.77.0.1:5146$订阅源
广东珠江,http://113.90.246.252:4000/udp/239.77.0.1:5146$订阅源
广东珠江,http://14.112.86.101:4022/rtp/239.77.0.3:5146$组播源
广东珠江,http://14.112.86.101:4022/rtp/239.77.1.94:5146$组播源
广东新闻,http://192.168.3.1:2222/rtp/239.77.0.173:5146$内网组播
广东新闻,http://163.177.122.28:9901/tsfile/live/1009_1.m3u8$订阅源
广东新闻,http://113.111.16.104:8888/udp/239.77.0.173:5146$订阅源
广东新闻,http://113.90.246.252:4000/udp/239.77.0.173:5146$订阅源
大湾区卫视,http://192.168.3.1:2222/rtp/239.77.0.215:5146$内网组播
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010108/1.m3u8$订阅源-IPv6
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8$订阅源-IPv6
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/1.m3u8$订阅源-IPv6
大湾区卫视,http://114.105.185.143:9901/tsfile/live/1011_1.m3u8$订阅源
广东影视,http://192.168.3.1:2222/rtp/239.77.0.217:5146$内网组播
广东影视,http://222.218.158.217:8181/tsfile/live/1004_1.m3u8$订阅源
广东影视,http://58.252.12.164:8000/udp/239.77.0.217:5146$订阅源
