Name: 广东珠江, URL: http://121.13.84.156:8000/rtp/239.77.0.114:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 2 ms
Name: 广东珠江, URL: http://121.13.84.156:8000/rtp/239.77.0.1:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 8 ms
Name: 广东珠江, URL: http://113.93.54.209:5555/rtp/239.77.0.1:5146$1920x1080, Date: 2024-08-06, Resolution: 1920x1080, Response Time: 368 ms
Name: 广东珠江, URL: http://59.38.62.147:2052/rtp/239.77.0.1:5146$1920x1080, Date: 2024-08-11, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东珠江, URL: https://skype.serv00.net/itouch.php?id=gdzj$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东珠江, URL: http://121.13.84.156:8000/rtp/239.77.1.94:5146$720x576, Date: 2024-08-07, Resolution: 720x576, Response Time: 33 ms
Name: 广东珠江, URL: http://121.13.84.156:8000/rtp/239.77.0.3:5146$720x576, Date: 2024-08-07, Resolution: 720x576, Response Time: 48 ms
Name: 广东珠江, URL: http://116.23.99.235:50000/rtp/239.77.0.3:5146$720x576, Date: None, Resolution: 720x576, Response Time: 258 ms
Name: 广东体育, URL: https://skype.serv00.net/itouch.php?id=gdty$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东体育, URL: http://121.13.84.156:8000/rtp/239.77.0.112:5146$720x576, Date: None, Resolution: 720x576, Response Time: 30 ms
Name: 广东体育, URL: http://121.13.84.156:8000/rtp/239.77.0.168:5146$720x576, Date: 2024-08-07, Resolution: 720x576, Response Time: 38 ms
Name: 广东体育, URL: http://121.13.84.156:8000/rtp/239.77.1.97:5146$720x576, Date: 2024-08-07, Resolution: 720x576, Response Time: 39 ms
Name: 广东体育, URL: http://121.13.84.156:8000/rtp/239.77.0.112:5146$720x576, Date: 2024-08-07, Resolution: 720x576, Response Time: 55 ms
Name: 广东体育, URL: http://121.13.84.156:8000/rtp/239.77.0.6:5146$720x576, Date: 2024-08-07, Resolution: 720x576, Response Time: 61 ms
Name: 广东体育, URL: http://113.83.248.110:4200/rtp/239.77.0.6:5146$720x576, Date: None, Resolution: 720x576, Response Time: 96 ms
Name: 广东新闻, URL: https://skype.serv00.net/itouch.php?id=gdxw$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东新闻, URL: http://113.83.248.110:4200/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 62 ms
Name: 广东新闻, URL: http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8$720x576, Date: None, Resolution: 720x576, Response Time: 362 ms
Name: 广东卫视, URL: http://14.126.127.235:10001/rtp/239.77.1.19:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东卫视, URL: http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024060903.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东卫视, URL: http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265034/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265034&livemode=1&stbId=3$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东卫视, URL: http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014176/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 广东卫视, URL: http://metatvpro.xyz:25461/W1045/4329/417$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东卫视, URL: http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024060902.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东卫视, URL: http://121.13.84.156:8000/rtp/239.77.0.2:5146$720x576, Date: 2024-08-07, Resolution: 720x576, Response Time: 2 ms
Name: 广东卫视, URL: http://113.83.248.110:4200/rtp/239.77.0.233:5146$720x576, Date: None, Resolution: 720x576, Response Time: 130 ms
Name: 大湾区卫视, URL: https://skype.serv00.net/itouch.php?id=nfws$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 江门综合, URL: http://121.13.84.156:8000/rtp/239.77.0.201:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 49 ms
Name: 新会综合, URL: https://skype.serv00.net/itouch.php?id=xhzh$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 鹤山综合, URL: https://skype.serv00.net/itouch.php?id=hszh$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 佛山综合, URL: http://121.13.84.156:8000/rtp/239.253.43.57:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 368 ms
Name: 佛山公共, URL: http://121.13.84.156:8000/rtp/239.253.43.53:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 0 ms
Name: 深圳卫视, URL: http://121.13.84.156:8000/rtp/239.77.1.148:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 0 ms
Name: 深圳卫视, URL: http://121.13.84.156:8000/rtp/239.77.1.21:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 7 ms
Name: 深圳卫视, URL: http://121.13.84.156:8000/rtp/239.77.0.92:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 19 ms
Name: 深圳卫视, URL: http://121.13.84.156:8000/rtp/239.77.1.3:5146$1920x1080, Date: 2024-08-07, Resolution: 1920x1080, Response Time: 24 ms
Name: 深圳卫视, URL: http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061303.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 深圳卫视, URL: http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265028/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265028&livemode=1&stbId=3$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
