联通,#genre#
CCTV-1高清,rtp://239.125.2.66:4120
CCTV-2高清,rtp://239.125.2.65:4120
CCTV-3高清,rtp://239.125.2.52:4120
CCTV-4高清,rtp://239.125.2.64:4120
CCTV-5高清,rtp://239.125.2.54:4120
CCTV-6高清,rtp://239.125.2.56:4120
CCTV-7高清,rtp://239.125.2.63:4120
CCTV-8高清,rtp://239.125.2.58:4120
CCTV-9高清,rtp://239.125.2.62:4120
CCTV-10高清,rtp://239.125.2.61:4120
CCTV-11高清,rtp://239.125.1.101:4120
CCTV-12高清,rtp://239.125.2.60:4120
CCTV-13,rtp://239.125.2.100:8003
CCTV-14高清,rtp://239.125.2.59:4120
CCTV-15高清,rtp://239.125.1.102:4120
CCTV-NEWS,rtp://234.1.3.22:5000
CCTV-5+高清,rtp://239.125.1.57:5000
内蒙古蒙古语卫视高清,rtp://239.125.1.66:5000
内蒙古卫视高清,rtp://239.125.1.59:5000
内蒙古经济生活高清,rtp://239.125.1.74:4120
内蒙古文体娱乐高清,rtp://239.125.1.72:4120
内蒙古农牧频道高清,rtp://239.125.1.73:4120
内蒙古新闻综合高清,rtp://239.125.1.70:4120
内蒙古蒙语文化高清,rtp://239.125.1.71:4120
内蒙古少儿高清,rtp://239.125.1.69:4120
包头新闻综合高清,rtp://239.125.2.187:4400
包头生活服务高清,rtp://239.125.2.186:4400
包头经济高清,rtp://239.125.2.10:5000
浙江卫视高清,rtp://239.125.2.68:4120
江苏卫视高清,rtp://239.125.2.69:4120
湖北卫视高清,rtp://239.125.2.74:4120
广东卫视高清,rtp://239.125.2.71:4120
三佳购物,rtp://234.1.2.208:5000
山西卫视,rtp://234.1.3.36:5000
贵州卫视高清,rtp://239.125.2.80:4120
东方卫视高清,rtp://239.125.2.82:4120
辽宁卫视高清,rtp://239.125.2.72:4120
山东卫视高清,rtp://239.125.2.75:4120
吉林卫视,rtp://234.1.3.42:5000
黑龙江卫视高清,rtp://239.125.2.83:4120
广西卫视,rtp://234.1.3.52:5000
兵团卫视,rtp://234.1.3.60:5000
安徽卫视高清,rtp://239.125.2.78:4120
北京卫视高清,rtp://239.125.2.73:4120
东南卫视高清,rtp://239.125.2.77:4120
河北卫视高清,rtp://239.125.2.70:4120
天津卫视高清,rtp://239.125.2.81:4120
湖南卫视高清,rtp://239.125.2.67:4120
四川卫视高清,rtp://239.125.2.79:4120
卡酷动画,rtp://234.1.3.55:5000
深圳卫视高清,rtp://239.125.2.76:4120
宁夏卫视,rtp://234.1.3.27:5000
IPTV谍战剧场,rtp://234.1.3.139:5000
云南卫视,rtp://234.1.3.23:5000
重庆卫视高清,rtp://239.125.2.102:4130
河南卫视,rtp://234.1.3.28:5000
江西卫视高清,rtp://239.125.2.101:4129
IPTV3+,rtp://234.1.3.127:5000
IPTV5+,rtp://234.1.3.128:5000
IPTV6+,rtp://234.1.3.129:5000
IPTV8+,rtp://234.1.3.130:5000
海南卫视,rtp://234.1.3.53:5000
青海卫视,rtp://234.1.3.38:5000
IPTV野外,rtp://234.1.3.126:5000
甘肃卫视,rtp://234.1.3.39:5000
陕西卫视,rtp://234.1.3.31:5000
足球,rtp://239.125.1.51:5000
熊猫频道,rtp://239.125.1.23:5000
西藏卫视,rtp://234.1.3.35:5000
CETV4,rtp://239.125.1.110:4120
城市剧场,rtp://234.1.3.136:5000
古装剧场,rtp://234.1.3.135:5000
音乐现场,rtp://239.125.1.40:5000
星影,rtp://239.125.1.55:5000
武侠剧场,rtp://234.1.3.138:5000
动作影院,rtp://239.125.1.53:5000
地理,rtp://239.125.1.41:5000
新疆卫视,rtp://234.1.3.34:5000
军旅剧场,rtp://234.1.3.144:5000
金鹰卡通,rtp://234.1.3.56:5000
全纪实,rtp://239.125.1.38:5000
山东教育,rtp://234.1.3.69:5000
动漫秀场,rtp://239.125.1.31:5000
