电信,#genre#

4K私享家,rtp://239.5.1.33:5000
CBN风尚生活,rtp://239.5.1.106:5000
CBN每日影院,rtp://239.5.1.105:5000
CBN幸福剧场,rtp://239.5.1.107:5000
CBN幸福娱乐,rtp://239.5.1.108:5000
CCTV1,rtp://239.5.1.4:5000
CCTV2,rtp://239.5.1.5:5000
CCTV3,rtp://239.5.1.101:5000
CCTV4,rtp://239.5.1.6:5000
CCTV5,rtp://239.5.1.102:5000
CCTV5+,rtp://239.5.1.7:5000
CCTV6,rtp://239.5.1.103:5000
CCTV7,rtp://239.5.1.8:5000
CCTV8,rtp://239.5.1.104:5000
CCTV9,rtp://239.5.1.9:5000
CCTV10,rtp://239.5.1.10:5000
CCTV11,rtp://239.5.1.137:5000
CCTV12,rtp://239.5.1.11:5000
CCTV13,rtp://239.5.1.138:5000
CCTV14,rtp://239.5.1.12:5000
CCTV15,rtp://239.5.1.139:5000
CCTV16,rtp://239.5.1.146:5000
CCTV17,rtp://239.5.1.140:5000
CHC动作电影,rtp://239.5.1.52:5000
CHC高清电影,rtp://239.5.1.51:5000
CHC家庭影院,rtp://239.5.1.50:5000
FTV足球频道,rtp://239.5.1.113:5000
IPTV体育,rtp://239.5.1.48:5000
爱心扶贫,rtp://239.5.1.132:5000
安徽卫视,rtp://239.5.1.26:5000
百事通电竞,rtp://239.5.1.72:5000
百事通体育,rtp://239.5.1.74:5000
百事通体育,rtp://239.5.1.80:5000
百事通体育,rtp://239.5.1.77:5000
百事通体育,rtp://239.5.1.71:5000
百事通体育,rtp://239.5.1.70:5000
百事通体育,rtp://239.5.1.73:5000
百事通体育,rtp://239.5.1.75:5000
百事通体育,rtp://239.5.1.78:5000
百事通体育,rtp://239.5.1.76:5000
百事通体育,rtp://239.5.1.79:5000
宝贝爱学,rtp://239.5.1.152:5000
宝贝爱学,rtp://239.5.1.32:5000
北京卫视,rtp://239.5.1.89:5000
兵器科技,rtp://239.5.1.125:5000
测试1,rtp://239.5.1.62:5000
测试2,rtp://239.5.1.151:5000
茶频道,rtp://239.5.1.68:5000
潮流音乐,rtp://239.5.1.90:5000
橙子视频,rtp://239.5.1.142:5000
大港油田企业频道,rtp://239.5.1.135:5000
第一剧场,rtp://239.5.1.121:5000
电视指南,rtp://239.5.1.129:5000
东方财经,rtp://239.5.1.156:5000
东方卫视,rtp://239.5.1.81:5000
动漫秀场,rtp://239.5.1.35:5000
都市剧场,rtp://239.5.1.43:5000
法治天地,rtp://239.5.1.63:5000
风云剧场,rtp://239.5.1.123:5000
风云音乐,rtp://239.5.1.128:5000
风云足球,rtp://239.5.1.119:5000
高尔夫网球,rtp://239.5.1.120:5000
购物频道,rtp://239.5.1.161:5000
购物频道,rtp://239.5.1.159:5000
购物频道,rtp://239.5.1.160:5000
广东卫视,rtp://239.5.1.18:5000
广西卫视,rtp://239.5.1.110:5000
贵州卫视,rtp://239.5.1.85:5000
海南卫视,rtp://239.5.1.111:5000
海外剧场,rtp://239.5.1.115:5000
河北卫视,rtp://239.5.1.82:5000
河南卫视,rtp://239.5.1.109:5000
黑龙江卫视,rtp://239.5.1.17:5000
湖北卫视,rtp://239.5.1.20:5000
湖南卫视,rtp://239.5.1.16:5000
怀旧剧场,rtp://239.5.1.122:5000
欢笑剧场,rtp://239.5.1.39:5000
吉林卫视,rtp://239.5.1.83:5000
极速汽车,rtp://239.5.1.40:5000
蓟州电视台,rtp://239.5.1.112:5000
健康直通车,rtp://239.5.1.141:5000
江苏卫视,rtp://239.5.1.25:5000
江西卫视,rtp://239.5.1.84:5000
街舞地带,rtp://239.5.1.34:5000
金色学堂,rtp://239.5.1.64:5000
金鹰纪实,rtp://239.5.1.23:5000
金鹰卡通,rtp://239.5.1.147:5000
经典剧场,rtp://239.5.1.116:5000
快乐垂钓,rtp://239.5.1.67:5000
快乐垂钓,rtp://239.5.1.92:5000
快乐英语ABC,rtp://239.5.1.134:5000
乐游,rtp://239.5.1.42:5000
梨园频道,rtp://239.5.1.148:5000
辽宁卫视,rtp://239.5.1.46:5000
魅力足球,rtp://239.5.1.153:5000
女性时尚,rtp://239.5.1.127:5000
曲艺大观,rtp://239.5.1.88:5000
上海纪实,rtp://239.5.1.87:5000
深圳卫视,rtp://239.5.1.19:5000
生活时尚,rtp://239.5.1.41:5000
食全食美,rtp://239.5.1.49:5000
世界地理,rtp://239.5.1.124:5000
四川卫视,rtp://239.5.1.22:5000
陶瓷,rtp://239.5.1.45:5000
天津都市,rtp://239.5.1.27:5000
天津购物,rtp://239.5.1.114:5000
天津科教,rtp://239.5.1.29:5000
天津少儿,rtp://239.5.1.24:5000
天津体育,rtp://239.5.1.3:5000
天津卫视,rtp://239.5.1.1:5000
天津文艺,rtp://239.5.1.31:5000
天津新闻,rtp://239.5.1.30:5000
天津影视,rtp://239.5.1.2:5000
文物宝库,rtp://239.5.1.149:5000
武术世界,rtp://239.5.1.150:5000
幸福彩,rtp://239.5.1.44:5000
央视台球,rtp://239.5.1.130:5000
央视文化精品,rtp://239.5.1.126:5000
游戏风云,rtp://239.5.1.36:5000
羽球精品赛事,rtp://239.5.1.66:5000
悦美生活,rtp://239.5.1.158:5000
早期教育,rtp://239.5.1.144:5000
浙江卫视,rtp://239.5.1.14:5000
重庆卫视,rtp://239.5.1.47:5000
