联通,#genre#
山西科教,rtp://226.0.1.15:3227
山西科教,rtp://226.0.1.15:3227
精英卡通,rtp://226.0.1.41:3012
kaku少儿,rtp://226.0.1.57:3059
哈哈少儿,rtp://226.0.1.44:3016
动漫秀场,rtp://226.0.1.190:3113
游戏风云,rtp://226.0.1.173:2096
太原教育,rtp://226.0.1.230:2006
山西卫视,rtp://226.0.1.156:3085
黄河,rtp://226.0.1.12:3224
山西经济,rtp://226.0.1.13:3225
山西影视,rtp://226.0.1.14:3226
山西公共,rtp://226.0.1.200:2006
山西少儿,rtp://226.0.1.17:3229
山西经济,rtp://226.0.1.13:3225
CCTV1-综合,rtp://226.0.1.157:3086
CCTV2,rtp://226.0.1.158:3087
CCTV3,rtp://226.0.1.141:2018
CCTV4,rtp://226.0.1.21:3036
CCTV5,rtp://226.0.1.135:2020
CCTV6,rtp://226.0.1.137:2021
CCTV7,rtp://226.0.1.163:3097
CCTV8,rtp://226.0.1.140:2023
CCTV9,rtp://226.0.1.165:3093
CCTV10,rtp://226.0.1.166:3099
CCTV11,rtp://226.0.1.28:3021
CCTV12,rtp://226.0.1.168:3100
CCTV13,rtp://226.0.1.30:3029
CCTV14,rtp://226.0.1.170:3094
CCTV15,rtp://226.0.1.32:3028
CCTV17,rtp://226.0.1.117:2033
CCTV5+,rtp://226.0.1.172:3096
湖南卫视,rtp://226.0.1.146:3075
浙江卫视,rtp://226.0.1.147:3076
天津卫视,rtp://226.0.1.153:3083
上海卫视,rtp://226.0.1.183:3106
江苏卫视,rtp://226.0.1.184:3107
深圳卫视,rtp://226.0.1.150:3079
北京卫视,rtp://226.0.1.185:3108
重庆卫视,rtp://226.0.1.178:3102
湖北卫视,rtp://226.0.1.152:3082
山东卫视,rtp://226.0.1.154:3084
河北卫视,rtp://226.0.1.186:3109
广东卫视,rtp://226.0.1.149:3078
黑龙江卫视,rtp://226.0.1.151:3080
四川卫视,rtp://226.0.1.187:3110
贵州卫视,rtp://226.0.1.188:3116
东南卫视,rtp://226.0.1.194:3119
河南卫视,rtp://226.0.1.201:2064
宁夏卫视,rtp://226.0.1.64:3050
广西卫视,rtp://226.0.1.46:3031
江西卫视,rtp://226.0.1.219:2067
吉林卫视,rtp://226.0.1.220:2068
青海卫视,rtp://226.0.1.59:3043
都市剧场,rtp://226.0.1.174:2098
MAX极速汽车,rtp://226.0.1.175:2099
魅力足球,rtp://226.0.1.176:2100
欢笑剧场,rtp://226.0.1.197:2102
#XTINF:-1,cctv音乐风云,rtp://226.0.1.92:3205
XTINF:-1,CCTV第一剧场,rtp://226.0.1.93:3210
cctv世界地理,rtp://226.0.1.94:3211
靓妆,rtp://226.0.1.96:3217
风云足球,rtp://226.0.1.105:3081精英卡通,rtp://226.0.1.41:3012
kaku少儿,rtp://226.0.1.57:3059
哈哈少儿,rtp://226.0.1.44:3016
动漫秀场,rtp://226.0.1.190:3113
游戏风云,rtp://226.0.1.173:2096
太原教育,rtp://226.0.1.230:2006
山西卫视,rtp://226.0.1.156:3085
黄河,rtp://226.0.1.12:3224
山西经济,rtp://226.0.1.13:3225
山西影视,rtp://226.0.1.14:3226
山西公共,rtp://226.0.1.200:2006
山西少儿,rtp://226.0.1.17:3229
山西经济,rtp://226.0.1.13:3225
CCTV1-综合,rtp://226.0.1.157:3086
CCTV2,rtp://226.0.1.158:3087
CCTV3,rtp://226.0.1.141:2018
CCTV4,rtp://226.0.1.21:3036
CCTV5,rtp://226.0.1.135:2020
CCTV6,rtp://226.0.1.137:2021
CCTV7,rtp://226.0.1.163:3097
CCTV8,rtp://226.0.1.140:2023
CCTV9,rtp://226.0.1.165:3093
CCTV10,rtp://226.0.1.166:3099
CCTV11,rtp://226.0.1.28:3021
CCTV12,rtp://226.0.1.168:3100
CCTV13,rtp://226.0.1.30:3029
CCTV14,rtp://226.0.1.170:3094
CCTV15,rtp://226.0.1.32:3028
CCTV17,rtp://226.0.1.117:2033
CCTV5+,rtp://226.0.1.172:3096
湖南卫视,rtp://226.0.1.146:3075
浙江卫视,rtp://226.0.1.147:3076
天津卫视,rtp://226.0.1.153:3083
上海卫视,rtp://226.0.1.183:3106
江苏卫视,rtp://226.0.1.184:3107
深圳卫视,rtp://226.0.1.150:3079
北京卫视,rtp://226.0.1.185:3108
重庆卫视,rtp://226.0.1.178:3102
湖北卫视,rtp://226.0.1.152:3082
山东卫视,rtp://226.0.1.154:3084
河北卫视,rtp://226.0.1.186:3109
广东卫视,rtp://226.0.1.149:3078
黑龙江卫视,rtp://226.0.1.151:3080
四川卫视,rtp://226.0.1.187:3110
贵州卫视,rtp://226.0.1.188:3116
东南卫视,rtp://226.0.1.194:3119
河南卫视,rtp://226.0.1.201:2064
宁夏卫视,rtp://226.0.1.64:3050
广西卫视,rtp://226.0.1.46:3031
江西卫视,rtp://226.0.1.219:2067
吉林卫视,rtp://226.0.1.220:2068
青海卫视,rtp://226.0.1.59:3043
都市剧场,rtp://226.0.1.174:2098
MAX极速汽车,rtp://226.0.1.175:2099
魅力足球,rtp://226.0.1.176:2100
欢笑剧场,rtp://226.0.1.197:2102
#XTINF:-1,cctv音乐风云,rtp://226.0.1.92:3205
XTINF:-1,CCTV第一剧场,rtp://226.0.1.93:3210
cctv世界地理,rtp://226.0.1.94:3211
靓妆,rtp://226.0.1.96:3217
风云足球,rtp://226.0.1.105:3081
