联通,#genre#
CETV-1高清,rtp://239.0.1.240:4120
上海纪实高清,rtp://239.0.1.242:5111
吉林卫视高清,rtp://239.0.1.245:5183
江西卫视高清,rtp://239.0.1.244:5166
河北卫视高清,rtp://239.0.1.243:8072
福建东南卫视高清,rtp://239.0.1.241:5109
高尔夫网球高清,rtp://239.0.10.229:5229
CCTV-10科教标清,rtp://239.0.1.70:8228
CCTV-10科教高清,rtp://239.0.1.98:8116
CCTV-11戏曲标清,rtp://239.0.1.71:5400
CCTV-12社会与法标清,rtp://239.0.1.72:8232
CCTV-12社会与法高清,rtp://239.0.1.99:8124
CCTV-13新闻标清,rtp://239.0.1.73:8264
CCTV-14少儿标清,rtp://239.0.1.74:8236
CCTV-14少儿高清,rtp://239.0.1.100:8132
CCTV-15音乐标清,rtp://239.0.1.75:8052
CCTV-1综合标清,rtp://239.0.1.65:8080
CCTV-2财经标清,rtp://239.0.1.66:8004
CCTV-4中文国际标清,rtp://239.0.1.67:8216
CCTV-7军事农业标清,rtp://239.0.1.68:8024
CCTV-7军事农业高清,rtp://239.0.1.96:8104
CCTV-9纪录标清,rtp://239.0.1.69:8032
CCTV-9纪录高清,rtp://239.0.1.97:8112
CCTV-NEWS标清,rtp://239.0.1.76:8056
CCTV1-高清,rtp://239.0.1.3:8008
CCTV2-高清,rtp://239.0.1.4:8084
CCTV5高清,rtp://239.0.1.101:8004
IPTV5高清,rtp://239.0.1.102:4120
TVS1广东经济科教标清,rtp://239.0.1.51:5008
TVS1广东经济科教高清,rtp://239.0.1.94:5013
TVS2广东南方卫视标清,rtp://239.0.1.52:5009
TVS4广东影视标清,rtp://239.0.1.54:5011
TVS5广东少儿标清,rtp://239.0.1.55:5012
东南卫视标清,rtp://239.0.1.26:8112
东方卫视标清,rtp://239.0.1.10:8192
东方卫视高清,rtp://239.0.1.82:8032
中国教育-1标清,rtp://239.0.1.43:4120
云南卫视-标清,rtp://239.0.1.23:8108
兵团卫视标清,rtp://239.0.1.38:4120
内蒙古卫视标清,rtp://239.0.1.31:8176
北京卫视标清,rtp://239.0.1.12:8240
北京卫视高清,rtp://239.0.1.83:8024
卡酷动画标清,rtp://239.0.1.40:9248
厦门卫视标清,rtp://239.0.1.46:4120
吉林卫视标清,rtp://239.0.1.28:8200
四川卫视-标清,rtp://239.0.1.21:8288
四川卫视高清,rtp://239.0.1.87:5095
天津卫视标清,rtp://239.0.1.13:8144
天津卫视高清,rtp://239.0.1.89:1234
宁夏卫视标清,rtp://239.0.1.34:8124
安徽卫视标清,rtp://239.0.1.11:8272
安徽卫视高清,rtp://239.0.1.81:8064
山东卫视标清,rtp://239.0.1.14:8148
山东卫视高清,rtp://239.0.1.90:8052
山东教育标清,rtp://239.0.1.44:5092
山西卫视标清,rtp://239.0.1.30:8172
岭南戏曲标清,rtp://239.0.1.59:5073
广东体育标清,rtp://239.0.1.49:5004
广东体育高清,rtp://239.0.1.95:5057
广东公共标清,rtp://239.0.1.48:5005
广东南方购物标清,rtp://239.0.1.57:5087
广东卫视标清,rtp://239.0.1.5:5002
广东卫视高清,rtp://239.0.1.1:5001
广东嘉佳卡通标清,rtp://239.0.1.56:5007
广东国际标清,rtp://239.0.1.50:5100
广东新闻标清,rtp://239.0.1.47:5006
广东珠江标清,rtp://239.0.1.6:5003
广西卫视标清,rtp://239.0.1.27:8300
房产频道标清,rtp://239.0.1.60:5072
新疆卫视标清,rtp://239.0.1.36:8160
旅游卫视标清,rtp://239.0.1.33:8304
江苏卫视高清,rtp://239.0.1.80:8028
江西卫视标清,rtp://239.0.1.15:8280
河北卫视-标清,rtp://239.0.1.25:8292
