联通,#genre#
CCTV1,rtp://228.1.1.1:6001
CCTV2,rtp://228.1.1.2:6002
CCTV3,rtp://228.1.1.3:6003
CCTV4,rtp://228.1.1.40:6040
CCTV5,rtp://228.1.1.5:6005
CCTV6,rtp://228.1.1.6:6006
CCTV7,rtp://228.1.1.118:6118
CCTV8,rtp://228.1.1.8:6008
CCTV9,rtp://228.1.1.9:6009
CCTV10,rtp://228.1.1.10:6010
CCTV11,rtp://228.1.1.41:6041
CCTV12,rtp://228.1.1.11:6011
CCTV13,rtp://228.1.1.42:6042
CCTV14,rtp://228.1.1.12:6012
CCTV15,rtp://228.1.1.43:6043
CCTV16,rtp://228.1.1.110:6110
CCTV17,rtp://228.1.1.7:6007
湖南导视,rtp://228.1.1.45:6045
湖南教育,rtp://228.1.1.46:6046
双峰综合,rtp://228.1.1.177:6177
娄底综合,rtp://228.1.1.137:6137
娄底公共,rtp://228.1.1.164:6164
娄底教育,rtp://228.1.1.121:6121
湖南卫视,rtp://228.1.1.13:6013
湖南经视,rtp://228.1.1.14:6014
湖南都市,rtp://228.1.1.17:6017
湖南电影,rtp://228.1.1.19:6019
湖南电视剧,rtp://228.1.1.20:6020
金鹰纪实,rtp://228.1.1.15:6015
湖南娱乐,rtp://228.1.1.18:6018
湖南爱晚,rtp://228.1.1.21:6021
兵团卫视,rtp://228.1.1.62:6062
东南卫视,rtp://228.1.1.37:6037
湖北卫视,rtp://228.1.1.29:6029
贵州卫视,rtp://228.1.1.52:6052
辽宁卫视,rtp://228.1.1.31:6031
山东卫视,rtp://228.1.1.32:6032
天津卫视,rtp://228.1.1.34:6034
安徽卫视,rtp://228.1.1.30:6030
广西卫视,rtp://228.1.1.57:6057
广东卫视,rtp://228.1.1.27:6027
云南卫视,rtp://228.1.1.51:6051
上海卫视,rtp://228.1.1.28:6028
河北卫视,rtp://228.1.1.39:6039
江西卫视,rtp://228.1.1.38:6038
河南卫视,rtp://228.1.1.50:6050
江苏卫视,rtp://228.1.1.26:6026
北京卫视,rtp://228.1.1.23:6023
陕西卫视,rtp://228.1.1.53:6053
山东教育,rtp://228.1.1.60:6060
重庆卫视,rtp://228.1.1.35:6035
浙江卫视,rtp://228.1.1.25:6025
四川卫视,rtp://228.1.1.36:6036
旅游卫视,rtp://228.1.1.48:6048
黑龙江卫视,rtp://228.1.1.33:6033
深圳卫视,rtp://228.1.1.24:6024
新疆卫视,rtp://228.1.1.49:6049
西藏卫视,rtp://228.1.1.61:6061
吉林卫视,rtp://228.1.1.58:6058
宁夏卫视,rtp://228.1.1.47:6047
甘肃卫视,rtp://228.1.1.55:6055
青海卫视,rtp://228.1.1.65:6065
内蒙古卫视,rtp://228.1.1.59:6059
山西卫视,rtp://228.1.1.56:6056
中国教育,rtp://228.1.1.64:6064
金鹰卡通,rtp://228.1.1.16:6016
哈哈炫动,rtp://228.1.1.112:6112
动漫秀场,rtp://228.1.1.82:6082
卡酷少儿,rtp://228.1.1.63:6063
测试一,rtp://228.1.1.171:6171
测试二,rtp://228.1.1.170:6170
财富天下,rtp://228.1.1.93:6093
家庭影院,rtp://228.1.1.106:6106
动作电影,rtp://228.1.1.105:6105
电影,rtp://228.1.1.122:6122
中华美食,rtp://228.1.1.154:6154
中华特产,rtp://228.1.1.70:6070
劲爆体育,rtp://228.1.1.79:6079
CCTV5赛事,rtp://228.1.1.4:6004
都市剧场,rtp://228.1.1.78:6078
快乐垂钓,rtp://228.1.1.98:6098
家庭理财,rtp://228.1.1.113:6113
法治天地,rtp://228.1.1.124:6124
先锋乒羽,rtp://228.1.1.75:6075
