电信,#genre#
贵州卫视_HD,rtp://238.255.2.1:5999
贵州-2_HD,rtp://238.255.2.2:5999
贵州-3套-HD,rtp://238.255.2.3:5999
贵州-4套-HD,rtp://238.255.2.4:5999
贵州-5_HD,rtp://238.255.2.5:5999
贵州-6_HD,rtp://238.255.2.6:5999
围棋频道_HD,rtp://238.255.2.7:5999
摄影频道_SD,rtp://238.255.2.8:5999
经济频道-HD,rtp://238.255.2.9:5999
家有购物_HD,rtp://238.255.2.10:5999
CCTV2-HD,rtp://238.255.2.11:5999
CCTV7_HD,rtp://238.255.2.12:5999
CCTV10-HD,rtp://238.255.2.13:5999
CCTV11_HD,rtp://238.255.2.14:5999
CCTV12-HD,rtp://238.255.2.15:5999
CCTV13_HD,rtp://238.255.2.16:5999
CCTV14-HD,rtp://238.255.2.17:5999
CCTV15_HD,rtp://238.255.2.18:5999
贵阳1套_HD,rtp://238.255.2.19:5999
贵阳2套,rtp://238.255.2.20:5999
金色学堂_HD,rtp://238.255.2.21:5999
贵阳3套,rtp://238.255.2.22:5999
西藏藏语卫视,rtp://238.255.2.23:5999
CCTV-风云音乐_HD,rtp://238.255.2.24:5999
CCTV-第一剧场_HD,rtp://238.255.2.25:5999
CCTV-世界地理_HD,rtp://238.255.2.26:5999
CCTV-女性时尚_HD,rtp://238.255.2.27:5999
CCTV-风云剧场_HD,rtp://238.255.2.28:5999
CCTV-风云足球_HD,rtp://238.255.2.29:5999
铜仁-1综合,rtp://238.255.2.31:5999
CCTV-央视文化精品_HD,rtp://238.255.2.32:5999
CCTV-怀旧剧场_HD,rtp://238.255.2.33:5999
CCTV-兵器科技_HD,rtp://238.255.2.34:5999
CCTV-老故事,rtp://238.255.2.35:5999
环球奇观,rtp://238.255.2.43:5999
中视购物_SD,rtp://238.255.2.44:5999
青海卫视_HD,rtp://238.255.2.51:5999
内蒙古卫视-SD,rtp://238.255.2.53:5999
金鹰卡通-HD,rtp://238.255.2.55:5999
哈哈炫动,rtp://238.255.2.56:5999
优漫卡通,rtp://238.255.2.57:5999
海南卫视_HD_8M,rtp://238.255.2.58:5999
广东卫视_HD,rtp://238.255.2.59:5999
大湾区卫视,rtp://238.255.2.60:5999
深圳卫视_HD,rtp://238.255.2.61:5999
嘉佳卡通,rtp://238.255.2.62:5999
云南卫视_SD,rtp://238.255.2.63:5999
广西卫视_SD,rtp://238.255.2.64:5999
西藏卫视_SD,rtp://238.255.2.65:5999
新疆卫视_SD,rtp://238.255.2.66:5999
兵团卫视-SD,rtp://238.255.2.67:5999
辽宁卫视_HD,rtp://238.255.2.69:5999
山西卫视_SD,rtp://238.255.2.71:5999
陕西卫视_SD,rtp://238.255.2.72:5999
甘肃卫视_HD,rtp://238.255.2.73:5999
河南卫视_HD,rtp://238.255.2.74:5999
宁夏卫视_SD,rtp://238.255.2.75:5999
四川卫视_HD,rtp://238.255.2.76:5999
河北卫视-HD,rtp://238.255.2.77:5999
重庆卫视_HD,rtp://238.255.2.78:5999
山东教育卫视,rtp://238.255.2.79:5999
卡酷动画,rtp://238.255.2.80:5999
北京卫视_HD,rtp://238.255.2.81:5999
CGTN-法语,rtp://238.255.2.83:5999
铜仁-2公共,rtp://238.255.2.87:5999
CCTV1-HD,rtp://238.255.2.91:5999
CCTV4-HD,rtp://238.255.2.92:5999
湖南卫视_HD,rtp://238.255.2.93:5999
江西卫视_HD,rtp://238.255.2.94:5999
吉林卫视_HD,rtp://238.255.2.95:5999
黑龙江卫视_HD,rtp://238.255.2.96:5999
山东卫视_HD,rtp://238.255.2.97:5999
东方卫视_HD,rtp://238.255.2.98:5999
天津卫视-HD,rtp://238.255.2.99:5999
浙江卫视_HD,rtp://238.255.2.100:5999
安徽卫视_HD,rtp://238.255.2.101:5999
湖北卫视_HD,rtp://238.255.2.102:5999
东南卫视_HD,rtp://238.255.2.103:5999
江苏卫视_HD,rtp://238.255.2.104:5999
CETV1-HD,rtp://238.255.2.105:5999
上海纪实_HD,rtp://238.255.2.106:5999
北京纪实_HD,rtp://238.255.2.107:5999
金鹰纪实-HD,rtp://238.255.2.108:5999
六盘水-1_HD,rtp://238.255.2.115:5999
六盘水-2_HD,rtp://238.255.2.116:5999
贵州移动电视_SD,rtp://238.255.2.117:5999
陕西农林卫视,rtp://238.255.2.120:5999
黔西南-综合_HD,rtp://238.255.2.126:5999
黔西南-公共频道_HD,rtp://238.255.2.127:5999
雷山综合_HD,rtp://238.255.2.128:5999
毕节1套_HD,rtp://238.255.2.131:5999
毕节2套_HD,rtp://238.255.2.132:5999
CCTV3_综艺_HD,rtp://238.255.2.133:5999
CCTV5_HD,rtp://238.255.2.134:5999
CCTV6-电影_HD,rtp://238.255.2.135:5999
CCTV8-电视剧_HD,rtp://238.255.2.136:5999
CCTV17_HD,rtp://238.255.2.137:5999
四川康巴卫视_HD,rtp://238.255.2.140:5999
汽摩,rtp://238.255.2.148:5999
黔南1_HD,rtp://238.255.2.150:5999
黔南2_HD,rtp://238.255.2.151:5999
遵义-公共频道_HD,rtp://238.255.2.152:5999
遵义-综合频道_HD,rtp://238.255.2.153:5999
遵义-都市频道_HD,rtp://238.255.2.154:5999
CCTV9-HD,rtp://238.255.2.155:5999
安顺1-新闻频道_HD,rtp://238.255.2.157:5999
安顺2-公共频道_HD,rtp://238.255.2.158:5999
画廊_六枝_250k,rtp://238.255.2.159:5999
黔西1_HD,rtp://238.255.2.161:5999
桐梓频道,rtp://238.255.2.162:5999
临时直播_405_new_lt,rtp://238.255.2.163:5999
CGTN-纪录频道,rtp://238.255.2.172:5999
国学频道,rtp://238.255.2.176:5999
靓妆,rtp://238.255.2.177:5999
CGTN,rtp://238.255.2.178:5999
黔东南_新闻综合_HD,rtp://238.255.2.179:5999
凯里频道_HD,rtp://238.255.2.180:5999
中学生,rtp://238.255.2.181:5999
观山湖-VirtualBroadcast,rtp://238.255.2.183:5999
发现之旅,rtp://238.255.2.184:5999
CCTV5+_HD,rtp://238.255.2.185:5999
财富天下-SD,rtp://238.255.2.186:5999
安龙-VirtualBroadcast,rtp://238.255.2.187:5999
文广_乐游_HD,rtp://238.255.2.188:5999
安多卫视,rtp://238.255.2.189:5999
文广_法治天地_HD,rtp://238.255.2.190:5999
文广_快乐垂钓_HD,rtp://238.255.2.191:5999
文广_茶高清,rtp://238.255.2.192:5999
文广_生活时尚_HD,rtp://238.255.2.193:5999
文广_都市剧场_HD,rtp://238.255.2.194:5999
新视觉_HD,rtp://238.255.2.195:5999
文广_动漫秀场_HD,rtp://238.255.2.196:5999
文广_游戏风云_HD,rtp://238.255.2.197:5999
文广_欢笑剧场_4K,rtp://238.255.2.198:5999
聚鲨环球,rtp://238.255.2.199:5999
云岩_VirtualBroadcast,rtp://238.255.2.200:5999
瓮安新闻综合_HD,rtp://238.255.2.201:5999
临时直播（备）,rtp://238.255.2.202:5999
三沙卫视-SD,rtp://238.255.2.203:5999
延边卫视,rtp://238.255.2.204:5999
厦门卫视-SD,rtp://238.255.2.205:5999
快乐购物,rtp://238.255.2.206:5999
CGTN-NEWS_HD,rtp://238.255.2.207:5999
CGTN-FRANCAIS_HD,rtp://238.255.2.208:5999
CGTN-ESPANOL_HD,rtp://238.255.2.209:5999
CGTN-Russian_HD,rtp://238.255.2.210:5999
CGTN-Arabic_HD,rtp://238.255.2.211:5999
CGTN-Documentary_HD,rtp://238.255.2.212:5999
CCTV-4HD-Europe,rtp://238.255.2.213:5999
CCTV-4HD-America,rtp://238.255.2.214:5999
欢笑剧场_4K,rtp://238.255.2.215:5999
瓮安新闻综合_HD,rtp://238.255.2.216:5999
CCTV-16HD,rtp://238.255.2.217:5999
思南综合频道_HD,rtp://238.255.2.218:5999
CCTV 16 UHD,rtp://238.255.2.219:5999
中国交通,rtp://238.255.2.220:5999
CETV2SD,rtp://238.255.2.221:5999
CETV4SD,rtp://238.255.2.222:5999
CCTV-高尔夫网球_4M_主,rtp://238.255.2.223:5999
CCTV央视台球_4M,rtp://238.255.2.224:5999
