移动,#genre#
CCTV1,rtp://238.255.2.91:5999
CCTV2,rtp://238.255.2.11:5999
CCTV3,rtp://238.255.2.133:5999
CCTV4,rtp://238.255.2.92:5999
CCTV5,rtp://238.255.2.134:5999
CCTV6,rtp://238.255.2.135:5999
CCTV7,rtp://238.255.2.12:5999
CCTV8,rtp://238.255.2.136:5999
CCTV9,rtp://238.255.2.155:5999
CCTV10,rtp://238.255.2.13:5999
CCTV11,rtp://238.255.2.14:5999
CCTV12,rtp://238.255.2.15:5999
CCTV13,rtp://238.255.2.16:5999
CCTV14,rtp://238.255.2.17:5999
CCTV15,rtp://238.255.2.18:5999
CCTV16,rtp://238.255.2.217:5999
CCTV17,rtp://238.255.2.137:5999
CCTV兵器科技,rtp://238.255.2.34:5999
CCTV第一剧场,rtp://238.255.2.25:5999
CCTV风云剧场,rtp://238.255.2.28:5999
CCTV风云音乐,rtp://238.255.2.24:5999
CCTV风云足球,rtp://238.255.2.29:5999
CCTV怀旧剧场,rtp://238.255.2.33:5999
CCTV女性时尚,rtp://238.255.2.27:5999
CCTV世界地理,rtp://238.255.2.26:5999
CCTV央视文化精品,rtp://238.255.2.32:5999
安徽卫视,rtp://238.255.2.101:5999
北京卫视,rtp://238.255.2.81:5999
东方卫视,rtp://238.255.2.98:5999
东南卫视,rtp://238.255.2.103:5999
冬奥纪实,rtp://238.255.2.107:5999
甘肃卫视,rtp://238.255.2.73:5999
广东卫视,rtp://238.255.2.59:5999
河北卫视,rtp://238.255.2.77:5999
河南卫视,rtp://238.255.2.74:5999
黑龙江卫视,rtp://238.255.2.96:5999
湖北卫视,rtp://238.255.2.102:5999
湖南卫视,rtp://238.255.2.93:5999
吉林卫视,rtp://238.255.2.95:5999
江苏卫视,rtp://238.255.2.104:5999
江西卫视,rtp://238.255.2.94:5999
金鹰卡通,rtp://238.255.2.55:5999
辽宁卫视,rtp://238.255.2.69:5999
山东卫视,rtp://238.255.2.97:5999
深圳卫视,rtp://238.255.2.61:5999
四川卫视,rtp://238.255.2.76:5999
天津卫视,rtp://238.255.2.99:5999
浙江卫视,rtp://238.255.2.100:5999
重庆卫视,rtp://238.255.2.78:5999
贵州卫视,rtp://238.255.2.1:5999
贵州2,rtp://238.255.2.2:5999
贵州3,rtp://238.255.2.3:5999
贵州4,rtp://238.255.2.4:5999
贵州5,rtp://238.255.2.5:5999
贵州6,rtp://238.255.2.6:5999
贵州7,rtp://238.255.2.9:5999
欢笑剧场4K,rtp://238.255.2.198:5999
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Clarity 4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
