联通,#genre#
贵州卫视,rtp://239.254.22.28:7000
贵州-2 公共频道,rtp://239.254.22.2:7000
贵州-3 影视文艺频道,rtp://239.254.22.3:7000
贵州-4 大众生活频道,rtp://239.254.22.4:7000
贵州-5 法制频道,rtp://239.254.22.5:7000
贵州-6 科教健康频道,rtp://239.254.22.6:7000
贵州-7 经济频道,rtp://239.254.22.201:7000
CCTV-1高清,rtp://239.254.22.105:7000
CCTV-2高清,rtp://239.254.22.121:7000
IPTV3＋,rtp://239.254.22.66:7000
CCTV-4,rtp://239.254.22.16:7000
IPTV5＋高清,rtp://239.254.22.188:7000
IPTV6＋,rtp://239.254.22.67:7000
CCTV-7高清,rtp://239.254.22.10:7000
IPTV8＋,rtp://239.254.22.68:7000
CCTV-9,rtp://239.254.22.17:7000
CCTV-10,rtp://239.254.22.18:7000
CCTV-11,rtp://239.254.22.19:7000
CCTV-12,rtp://239.254.22.20:7000
CCTV-13,rtp://239.254.22.21:7000
CCTV-14高清,rtp://239.254.22.124:7000
CCTV-15,rtp://239.254.22.23:7000
CCTV-NEWS,rtp://239.254.22.24:7000
CCTV-5＋高清,rtp://239.254.22.104:7000
湖南卫视高清,rtp://239.254.22.107:7000
浙江卫视高清,rtp://239.254.22.113:7000
北京卫视高清,rtp://239.254.22.110:7000
江苏卫视高清,rtp://239.254.22.106:7000
东方卫视高清,rtp://239.254.22.8:7000
湖北卫视高清,rtp://239.254.22.111:7000
山东卫视高清,rtp://239.254.22.115:7000
安徽卫视,rtp://239.254.22.45:7000
辽宁卫视高清,rtp://239.254.22.119:7000
广东卫视高清,rtp://239.254.22.116:7000
重庆卫视,rtp://239.254.22.51:7000
黑龙江卫视,rtp://239.254.22.42:7000
云南卫视,rtp://239.254.22.25:7000
吉林卫视,rtp://239.254.22.43:7000
甘肃卫视,rtp://239.254.22.41:7000
天津卫视,rtp://239.254.22.34:7000
河南卫视,rtp://239.254.22.30:7000
江西卫视,rtp://239.254.22.47:7000
广西卫视,rtp://239.254.22.52:7000
四川卫视,rtp://239.254.22.49:7000
山西卫视,rtp://239.254.22.38:7000
深圳卫视,rtp://239.254.22.54:7000
内蒙古卫视,rtp://239.254.22.39:7000
宁夏卫视,rtp://239.254.22.29:7000
河北卫视,rtp://239.254.22.50:7000
陕西卫视,rtp://239.254.22.33:7000
新疆卫视,rtp://239.254.22.36:7000
西藏卫视,rtp://239.254.22.37:7000
东南卫视（高清）,rtp://239.254.22.151:7000
家有购物（高清）,rtp://239.254.22.204:7000
CCTV-兵器科技,rtp://239.254.22.216:7000
CCTV-世界地理,rtp://239.254.22.208:7000
CCTV-风云音乐,rtp://239.254.22.206:7000
武术,rtp://239.254.22.94:7000
财富天下,rtp://239.254.22.61:7000
CCTV-17高清,rtp://239.254.16.178:6000
IPTV法治,rtp://239.254.22.65:7000
地理,rtp://239.254.22.78:7000
军事,rtp://239.254.22.83:7000
足球,rtp://239.254.22.96:7000
贵州移动电视,rtp://239.254.22.167:6000
少儿动画,rtp://239.254.22.69:7000
卡酷动画,rtp://239.254.22.55:7000
金鹰卡通,rtp://239.254.22.56:7000
嘉佳卡通,rtp://239.254.22.57:7000
热播剧场,rtp://239.254.22.72:7000
经典电影,rtp://239.254.22.73:7000
都市剧场,rtp://239.254.16.74:6000
军旅剧场,rtp://239.254.22.75:7000
古装剧场,rtp://239.254.22.76:7000
喜剧影院,rtp://239.254.22.98:7000
动作影院,rtp://239.254.22.99:7000
家庭影院,rtp://239.254.22.100:7000
音乐现场,rtp://239.254.22.77:7000
武侠剧场,rtp://239.254.22.97:7000
精选,rtp://239.254.22.81:7000
国学,rtp://239.254.22.84:7000
动画,rtp://239.254.22.87:7000
早教,rtp://239.254.22.86:7000
贵阳-1 新闻综合频道（高清）,rtp://239.254.22.152:7000
贵阳-2 经济生活频道,rtp://239.254.22.153:7000
贵阳-3 法制频道,rtp://239.254.22.154:7000
贵阳-4 都市频道,rtp://239.254.22.155:7000
贵阳-5 旅游生活频道,rtp://239.254.22.156:7000
CETV-1（高清）,rtp://239.254.22.157:7000
CGTN,rtp://239.254.22.158:7000
上海纪实（高清）,rtp://239.254.22.160:7000
北京纪实（高清）,rtp://239.254.22.161:7000
金鹰纪实 （高清）,rtp://239.254.22.162:7000
六盘水-1,rtp://239.254.22.163:7000
六盘水-2,rtp://239.254.22.164:7000
IPTV5＋,rtp://239.254.22.9:7000
VSPN全电竞,rtp://239.254.22.166:7000
