移动,#genre#
CCTV-1高清,rtp://232.11.0.90:20159
CCTV-2高清,rtp://232.11.0.41:20160
CCTV-3,rtp://232.11.0.198:20161
CCTV-4高清,rtp://232.11.0.52:20162
CCTV-5,rtp://232.11.0.89:20163
CCTV-6,rtp://232.11.0.216:20164
CCTV-7,rtp://232.11.0.93:20016
CCTV-8,rtp://232.11.0.57:20166
CCTV-9高清,rtp://232.11.0.58:20167
CCTV-10高清,rtp://232.11.0.59:20168
CCTV-11,rtp://232.11.0.123:20170
CCTV-12高清,rtp://232.11.0.60:20169
CCTV-13,rtp://232.11.0.217:20174
CCTV-14高清,rtp://232.11.0.61:20171
CCTV-15,rtp://232.11.0.184:20175
CCTV-16,rtp://232.11.0.122:20176
CCTV-17高清,rtp://232.11.0.62:20172
CCTV5+高清,rtp://232.11.0.63:20173
辽宁卫视高清,rtp://232.11.0.64:20158
辽宁都市,rtp://232.11.0.103:20030
辽宁影视剧,rtp://232.11.0.104:20031
辽宁体育,rtp://232.11.0.107:20034
辽宁生活,rtp://232.11.0.106:20033
辽宁教育青少,rtp://232.11.0.105:20032
辽宁北方,rtp://232.11.0.108:20035
辽宁宜佳购物,rtp://232.11.0.109:20038
辽宁移动电视,rtp://232.11.0.111:20039
辽宁公共,rtp://232.11.0.197:20037
辽宁经济,rtp://232.11.0.196:20036
央广购物,rtp://232.11.0.117:20086
聚鲨环球精选,rtp://232.11.0.252:20091
沈阳新闻,rtp://232.11.0.65:20027
家有购物,rtp://232.11.0.112:20041
北京卫视高清,rtp://232.11.0.66:20177
天津卫视高清,rtp://232.11.0.188:20185
东方卫视高清,rtp://232.11.0.67:20178
浙江卫视高清,rtp://232.11.0.69:20180
江苏卫视高清,rtp://232.11.0.68:20179
安徽卫视高清,rtp://232.11.0.191:20189
湖南卫视高清,rtp://232.11.0.70:20181
贵州卫视,rtp://232.11.0.203:20065
山东卫视高清,rtp://232.11.0.190:20187
山西卫视,rtp://232.11.0.76:20052
广东卫视高清,rtp://232.11.0.189:20186
广西卫视,rtp://232.11.0.202:20064
湖北卫视高清,rtp://232.11.0.185:20182
江西卫视,rtp://232.11.0.79:20055
河北卫视,rtp://232.11.0.211:20073
河南卫视,rtp://232.11.0.82:20058
四川卫视高清,rtp://232.11.0.192:20190
重庆卫视高清,rtp://232.11.0.193:20191
东南卫视,rtp://232.11.0.86:20062
海南卫视,rtp://232.11.0.204:20066
青海卫视,rtp://232.11.0.205:20067
云南卫视,rtp://232.11.0.212:20074
陕西卫视,rtp://232.11.0.210:20072
内蒙古卫视,rtp://232.11.0.209:20071
宁夏卫视,rtp://232.11.0.215:20077
新疆卫视,rtp://232.11.0.208:20070
甘肃卫视,rtp://232.11.0.214:20076
西藏卫视,rtp://232.11.0.207:20069
黑龙江卫视高清,rtp://232.11.0.186:20183
深圳卫视高清,rtp://232.11.0.187:20184
厦门卫视,rtp://232.11.0.218:20078
中国教育-1,rtp://232.11.0.243:20230
兵团卫视,rtp://232.11.0.213:20075
金鹰卡通,rtp://232.11.0.233:20110
优漫卡通,rtp://232.11.0.235:20112
嘉佳卡通,rtp://232.11.0.234:20111
金鹰纪实高清,rtp://232.11.0.195:20097
北京纪实高清,rtp://232.11.0.194:20096
家庭理财,rtp://232.11.0.236:20117
新动漫,rtp://232.11.0.232:20107
CCTV-1,rtp://232.11.0.88:20010
CCTV-2,rtp://232.11.0.91:20011
CCTV-4,rtp://232.11.0.92:20013
CCTV-10,rtp://232.11.0.95:20019
CCTV-12,rtp://232.11.0.97:20021
CCTV-14,rtp://232.11.0.99:20023
CCTV-17,rtp://232.11.0.101:20026
CCTV5+,rtp://232.11.0.242:20213
辽宁卫视,rtp://232.11.0.102:20029
北京卫视,rtp://232.11.0.110:20046
天津卫视,rtp://232.11.0.83:20059
湖南卫视,rtp://232.11.0.77:20053
浙江卫视,rtp://232.11.0.73:20049
江苏卫视,rtp://232.11.0.72:20048
安徽卫视,rtp://232.11.0.74:20050
东方卫视,rtp://232.11.0.71:20047
深圳卫视,rtp://232.11.0.206:20068
黑龙江卫视,rtp://232.11.0.85:20061
山东卫视,rtp://232.11.0.75:20051
广东卫视,rtp://232.11.0.87:20063
湖北卫视,rtp://232.11.0.78:20054
四川卫视,rtp://232.11.0.81:20057
重庆卫视,rtp://232.11.0.80:20056
吉林卫视高清,rtp://232.11.0.251:20234
山东教育卫视,rtp://232.11.0.118:20113
农林卫视,rtp://232.11.0.119:20238
延边卫视,rtp://232.11.0.253:20239
西藏卫视（藏语）,rtp://232.11.0.120:20094
安多卫视,rtp://232.11.0.254:20095
康巴卫视,rtp://232.11.0.121:20093
